Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"DeSean Jackson (TB, WR)",183.1,13.1,109.0,0.9,12.9,7.0,5.2,13.0,8.7,5.2,12.9,6.9,4.7
"Larry Fitzgerald (ARI, WR)",179.5,12.0,97.8,1.0,11.8,5.9,4.1,11.4,7.2,3.7,12.2,6.2,4.0
"Brandon Marshall (NYG, WR)",175.9,11.7,93.9,1.0,11.6,5.7,3.8,8.7,4.5,1.0,14.1,8.1,5.9
"Jeremy Maclin (BAL, WR)",94.8,7.9,34.1,0.8,7.8,1.8,0.0,7.7,3.5,0.0,7.8,1.8,-0.4
"Pierre Garcon (SF, WR)",101.5,7.2,33.5,0.9,7.1,1.2,-0.6,6.0,1.8,-1.7,8.2,2.2,0.0
"Mike Wallace (BAL, WR)",102.0,6.8,31.6,1.0,6.7,0.8,-1.1,7.4,3.2,-0.3,6.0,0.0,-2.2
"Kenny Britt (CLE, WR)",84.7,6.0,23.3,0.9,5.9,0.0,-1.8,4.1,-0.2,-3.6,7.7,1.7,-0.5
"Michael Crabtree (OAK, WR)",66.7,6.7,20.3,0.7,6.5,0.6,-1.2,5.7,1.5,-2.0,6.7,0.7,-1.5
"Ted Ginn (NO, WR)",54.2,3.6,8.9,1.0,3.5,-2.4,-4.3,4.3,0.0,-3.5,2.8,-3.2,-5.4
"Julian Edelman (NE, WR)",32.1,3.6,5.2,0.6,3.4,-2.5,-4.3,3.7,-0.5,-4.0,3.1,-2.9,-5.2
"Jordy Nelson (GB, WR)",36.9,3.1,5.2,0.8,2.9,-3.0,-4.8,3.1,-1.1,-4.6,2.8,-3.2,-5.4
"Danny Amendola (NE, WR)",34.6,2.7,4.2,0.9,2.5,-3.4,-5.2,2.0,-2.3,-5.7,3.0,-3.0,-5.2
"Darrius Heyward-Bey (PIT, WR)",20.3,1.8,1.7,0.7,1.7,-4.2,-6.1,1.0,-3.2,-6.7,3.5,-2.5,-4.7
"Eric Weems (TEN, WR)",20.3,1.4,1.3,1.0,1.2,-4.7,-6.5,1.2,-3.0,-6.5,1.2,-4.8,-7.0
"Brandon Tate (BUF, WR)",1.1,0.6,0.0,0.1,0.4,-5.5,-7.3,1.0,-3.3,-6.8,-0.1,-6.1,-8.4
"Matthew Slater (NE, WR)",0.6,0.1,0.0,0.5,-0.0,-6.0,-7.8,-0.1,-4.4,-7.9,-0.0,-6.0,-8.2
