Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Aaron Rodgers (GB, QB)",316.2,21.1,51.4,1.0,15.3,7.9,3.7,16.2,7.1,3.6,14.9,7.9,3.4
"Drew Brees (NO, QB)",292.4,19.5,43.9,1.0,13.8,6.3,2.1,14.5,5.5,2.0,13.4,6.4,1.9
"Tom Brady (NE, QB)",262.9,17.5,35.5,1.0,11.8,4.4,0.1,14.1,5.1,1.6,10.1,3.0,-1.5
"Philip Rivers (SD, QB)",261.2,17.4,35.1,1.0,11.7,4.3,0.0,11.7,2.6,-0.9,12.0,5.0,0.5
"Matt Schaub (ATL, QB)",260.7,17.4,34.9,1.0,11.6,4.2,-0.0,12.8,3.8,0.3,10.7,3.6,-0.9
"Ben Roethlisberger (PIT, QB)",246.5,17.6,33.5,0.9,11.9,4.5,0.2,12.6,3.5,0.0,11.5,4.5,0.0
"Eli Manning (NYG, QB)",229.7,15.3,27.1,1.0,9.6,2.2,-2.1,8.0,-1.1,-4.6,11.8,4.8,0.3
"Carson Palmer (ARI, QB)",207.1,13.8,22.0,1.0,8.1,0.7,-3.6,10.5,1.5,-2.0,6.2,-0.8,-5.3
"Joe Flacco (BAL, QB)",202.8,13.5,21.1,1.0,7.8,0.4,-3.9,11.0,2.0,-1.5,5.3,-1.8,-6.3
"Matt Ryan (ATL, QB)",170.3,13.1,17.2,0.9,7.4,-0.1,-4.3,9.1,0.0,-3.5,5.8,-1.3,-5.8
"Matt Cassel (TEN, QB)",156.3,11.2,13.4,0.9,5.4,-2.0,-6.3,6.8,-2.2,-5.7,4.7,-2.4,-6.9
"Alex Smith (KC, QB)",131.5,13.2,13.3,0.7,7.4,0.0,-4.3,9.8,0.8,-2.7,7.0,0.0,-4.5
"Matthew Stafford (DET, QB)",123.5,12.3,11.8,0.7,6.6,-0.8,-5.1,5.6,-3.4,-6.9,8.0,0.9,-3.6
"Chad Henne (JAC, QB)",136.7,10.5,11.1,0.9,4.8,-2.6,-6.9,2.8,-6.2,-9.7,6.3,-0.7,-5.2
"Mark Sanchez (CHI, QB)",125.6,9.0,8.7,0.9,3.2,-4.2,-8.4,5.6,-3.4,-6.9,0.4,-6.6,-11.1
"Matt Moore (MIA, QB)",59.4,9.9,4.5,0.4,4.2,-3.2,-7.5,-5.4,-14.4,-17.9,9.2,2.2,-2.3
"Ryan Fitzpatrick (TB, QB)",70.1,7.8,4.2,0.6,2.0,-5.4,-9.6,0.8,-8.2,-11.7,2.9,-4.1,-8.6
"Josh Johnson (NYG, QB)",40.2,8.0,2.5,0.3,2.3,-5.1,-9.4,2.5,-6.6,-10.1,-5.6,-12.6,-17.1
"Derek Anderson (CAR, QB)",32.7,4.7,1.2,0.5,-1.1,-8.5,-12.7,-1.6,-10.6,-14.1,3.2,-3.9,-8.4
"Brian Hoyer (SF, QB)",10.3,3.4,0.3,0.2,-2.3,-9.7,-14.0,-0.8,-9.8,-13.3,-4.8,-11.8,-16.3
"Drew Stanton (ARI, QB)",5.7,1.9,0.1,0.2,-3.9,-11.3,-15.5,-5.6,-14.6,-18.1,-1.9,-8.9,-13.4
"Kellen Clemens (SD, QB)",5.4,1.1,0.0,0.3,-4.7,-12.1,-16.3,-5.6,-14.6,-18.1,-4.2,-11.2,-15.7
"Josh McCown (NYJ, QB)",0.1,0.1,0.0,0.1,-5.7,-13.1,-17.3,-5.5,-14.5,-18.0,-5.6,-12.6,-17.1
