Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Josh Gordon (CLE, WR)",219.2,16.9,92.5,0.9,7.6,7.9,4.6,3.8,3.6,1.1,10.8,10.8,7.1
"Demaryius Thomas (DEN, WR)",203.7,13.6,69.2,1.0,4.3,4.6,1.3,3.8,3.6,1.1,4.9,4.9,1.2
"A.J. Green (CIN, WR)",196.5,13.1,64.4,1.0,3.8,4.2,0.8,3.6,3.5,0.9,4.0,4.0,0.3
"Brandon Marshall (NYG, WR)",188.1,12.5,59.0,1.0,3.2,3.6,0.2,2.7,2.6,0.0,3.7,3.7,0.0
"Alshon Jeffery (PHI, WR)",186.6,12.4,58.1,1.0,3.1,3.5,0.1,1.7,1.6,-1.0,4.4,4.4,0.7
"Dez Bryant (DAL, WR)",185.1,12.3,57.2,1.0,3.0,3.4,0.0,4.5,4.3,1.8,1.4,1.4,-2.3
"DeSean Jackson (TB, WR)",184.6,12.3,56.8,1.0,3.0,3.4,0.0,2.9,2.7,0.2,3.2,3.2,-0.5
"Eric Decker (TEN, WR)",184.1,12.3,56.5,1.0,3.0,3.3,-0.0,1.1,0.9,-1.6,5.2,5.2,1.4
"Antonio Brown (PIT, WR)",184.1,12.3,56.5,1.0,3.0,3.3,-0.0,1.8,1.6,-0.9,4.0,4.1,0.3
"Jordy Nelson (GB, WR)",163.3,10.9,44.5,1.0,1.6,1.9,-1.4,6.0,5.8,3.3,-2.2,-2.2,-6.0
"Pierre Garcon (SF, WR)",158.8,10.6,42.1,1.0,1.3,1.6,-1.7,-0.1,-0.3,-2.8,2.5,2.6,-1.2
"Keenan Allen (SD, WR)",139.7,10.0,34.9,0.9,0.7,1.0,-2.3,-0.6,-0.8,-3.3,1.7,1.7,-2.0
"Larry Fitzgerald (ARI, WR)",142.9,9.5,34.1,1.0,0.2,0.6,-2.8,0.1,0.0,-2.6,0.4,0.4,-3.4
"Julian Edelman (NE, WR)",136.2,9.1,30.9,1.0,-0.2,0.1,-3.2,-1.9,-2.0,-4.6,1.7,1.7,-2.0
"Torrey Smith (PHI, WR)",134.1,8.9,30.0,1.0,-0.4,0.0,-3.4,0.5,0.4,-2.2,-1.1,-1.1,-4.9
"Michael Floyd (MIN, WR)",126.3,8.4,26.6,1.0,-0.9,-0.5,-3.9,-2.2,-2.4,-4.9,0.7,0.7,-3.1
"Victor Cruz (CHI, WR)",121.8,8.7,26.5,0.9,-0.6,-0.2,-3.6,2.2,2.0,-0.5,-4.3,-4.3,-8.0
"Marvin Jones (DET, WR)",125.6,8.4,26.3,1.0,-0.9,-0.6,-3.9,1.3,1.1,-1.4,-3.4,-3.4,-7.1
"T.Y. Hilton (IND, WR)",123.4,8.2,25.4,1.0,-1.1,-0.7,-4.1,-1.6,-1.7,-4.3,-0.6,-0.6,-4.3
"Mike Wallace (BAL, WR)",117.8,7.9,23.2,1.0,-1.5,-1.1,-4.5,-2.5,-2.6,-5.2,-0.5,-0.5,-4.3
"Kendall Wright (CHI, WR)",114.9,7.7,22.0,1.0,-1.6,-1.3,-4.6,-2.3,-2.4,-5.0,-1.1,-1.1,-4.8
"Harry Douglas (TEN, WR)",108.9,7.3,19.8,1.0,-2.0,-1.7,-5.0,-1.7,-1.9,-4.4,-2.3,-2.3,-6.0
"Doug Baldwin (SEA, WR)",108.4,7.2,19.6,1.0,-2.1,-1.7,-5.1,-3.9,-4.0,-6.6,-0.0,0.0,-3.7
"Emmanuel Sanders (DEN, WR)",106.0,7.1,18.7,1.0,-2.2,-1.9,-5.2,-1.9,-2.1,-4.6,-2.5,-2.5,-6.2
"Golden Tate (DET, WR)",103.8,6.9,18.0,1.0,-2.4,-2.0,-5.4,-1.2,-1.3,-3.9,-3.7,-3.7,-7.4
"Rod Streater (BUF, WR)",102.5,6.8,17.5,1.0,-2.5,-2.1,-5.5,-3.8,-3.9,-6.5,-1.3,-1.3,-5.1
"Terrance Williams (DAL, WR)",96.1,6.9,16.5,0.9,-2.4,-2.1,-5.4,0.2,0.1,-2.5,-5.1,-5.1,-8.8
"Brandon LaFell (CIN, WR)",94.2,6.7,15.9,0.9,-2.6,-2.2,-5.6,-1.5,-1.6,-4.2,-3.4,-3.3,-7.1
"Danny Amendola (NE, WR)",74.5,6.8,12.6,0.7,-2.5,-2.2,-5.5,-4.9,-5.1,-7.6,-1.1,-1.1,-4.9
"DeAndre Hopkins (HOU, WR)",86.7,5.8,12.5,1.0,-3.5,-3.2,-6.5,-1.9,-2.1,-4.6,-4.9,-4.9,-8.6
