Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Jamaal Charles (DEN, RB)",308.7,20.6,95.9,1.0,15.8,11.2,6.8,13.9,8.9,4.6,18.4,14.1,9.5
"LeSean McCoy (BUF, RB)",259.3,17.3,67.6,1.0,12.5,7.9,3.5,10.4,5.4,1.1,15.3,11.1,6.5
"Matt Forte (NYJ, RB)",227.6,15.2,52.1,1.0,10.4,5.8,1.4,11.9,6.9,2.5,9.4,5.1,0.5
"Marshawn Lynch (OAK, RB)",223.2,14.9,50.1,1.0,10.1,5.5,1.1,10.4,5.5,1.1,10.1,5.8,1.3
"DeMarco Murray (TEN, RB)",198.2,15.2,45.6,0.9,10.5,5.8,1.4,8.5,3.5,-0.8,12.4,8.2,3.6
"Adrian Peterson (NO, RB)",203.7,14.5,44.7,0.9,9.8,5.1,0.7,11.0,6.1,1.7,8.9,4.6,0.0
"Eddie Lacy (SEA, RB)",193.4,13.8,40.3,0.9,9.1,4.4,0.0,7.1,2.1,-2.3,10.8,6.5,1.9
"Le'Veon Bell (PIT, RB)",156.5,13.0,30.8,0.8,8.3,3.6,-0.8,7.4,2.4,-1.9,8.8,4.5,-0.1
"Frank Gore (IND, RB)",173.5,11.6,30.3,1.0,6.8,2.2,-2.2,9.3,4.4,0.0,4.3,0.0,-4.6
"Ryan Mathews (PHI, RB)",168.9,11.3,28.7,1.0,6.5,1.9,-2.6,4.4,-0.6,-4.9,8.6,4.3,-0.3
"Alfred Morris (DAL, RB)",163.0,10.9,26.7,1.0,6.1,1.5,-2.9,7.2,2.2,-2.1,5.4,1.1,-3.5
"Giovani Bernard (CIN, RB)",159.6,10.6,25.6,1.0,5.9,1.2,-3.2,5.0,0.0,-4.4,7.3,3.0,-1.6
"Danny Woodhead (BAL, RB)",141.0,9.4,20.0,1.0,4.7,0.0,-4.4,5.4,0.4,-3.9,4.2,-0.1,-4.6
"Andre Ellington (ARI, RB)",122.1,8.7,16.1,0.9,4.0,-0.7,-5.1,4.5,-0.4,-4.8,3.6,-0.7,-5.2
"C.J. Spiller (KC, RB)",109.1,7.8,12.8,0.9,3.1,-1.6,-6.0,2.1,-2.9,-7.2,4.3,0.0,-4.6
"Shane Vereen (NYG, RB)",77.0,11.0,12.8,0.5,6.3,1.6,-2.8,11.6,6.6,2.2,5.3,1.0,-3.6
