Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"David Johnson (ARI, RB)",319.4,21.3,123.9,1.0,9.7,10.0,6.8,8.2,7.9,5.2,11.4,11.6,8.0
"Ezekiel Elliott (DAL, RB)",293.4,19.6,88.2,1.0,7.9,8.3,5.1,6.1,5.8,3.1,9.5,9.7,6.2
"Le'Veon Bell (PIT, RB)",238.4,19.9,75.1,0.8,8.2,8.6,5.4,3.0,2.7,-0.0,10.9,11.1,7.5
"LeSean McCoy (BUF, RB)",242.7,17.3,50.8,0.9,5.7,6.1,2.9,3.9,3.6,0.9,7.5,7.7,4.1
"Melvin Gordon (SD, RB)",209.6,16.1,35.3,0.9,4.5,4.8,1.7,5.2,4.9,2.2,3.4,3.6,0.0
"DeMarco Murray (TEN, RB)",230.5,15.4,33.6,1.0,3.7,4.1,0.9,5.7,5.4,2.7,1.5,1.7,-1.9
"LeGarrette Blount (NE, RB)",216.8,14.5,26.3,1.0,2.8,3.2,0.0,3.0,2.7,0.0,2.6,2.8,-0.8
"Devonta Freeman (ATL, RB)",204.4,13.6,20.8,1.0,2.0,2.4,-0.8,0.7,0.4,-2.3,3.5,3.7,0.1
"Jordan Howard (CHI, RB)",187.6,13.4,18.1,0.9,1.8,2.1,-1.1,0.3,0.0,-2.7,3.2,3.4,-0.1
"Latavius Murray (OAK, RB)",174.7,13.4,17.0,0.9,1.8,2.2,-1.0,-0.6,-0.9,-3.6,3.9,4.1,0.5
"Jay Ajayi (MIA, RB)",182.4,13.0,16.2,0.9,1.4,1.8,-1.4,3.0,2.7,0.0,0.2,0.4,-3.2
"Carlos Hyde (SF, RB)",163.1,12.5,12.9,0.9,0.9,1.3,-1.9,2.5,2.2,-0.5,-0.4,-0.2,-3.8
"Spencer Ware (KC, RB)",162.9,11.6,10.3,0.9,0.0,0.4,-2.8,2.3,2.0,-0.7,-2.3,-2.1,-5.7
"Mark Ingram (NO, RB)",169.1,11.3,9.7,1.0,-0.4,0.0,-3.2,-2.7,-3.0,-5.7,1.7,1.9,-1.7
"Lamar Miller (HOU, RB)",160.1,11.4,9.6,0.9,-0.2,0.2,-3.0,-0.2,-0.5,-3.2,-0.2,0.0,-3.6
"Matt Forte (NYJ, RB)",153.6,11.0,8.2,0.9,-0.7,-0.3,-3.5,2.1,1.8,-0.9,-4.4,-4.2,-7.7
"Jeremy Hill (CIN, RB)",155.3,10.4,6.9,1.0,-1.3,-0.9,-4.1,-0.8,-1.1,-3.8,-1.9,-1.7,-5.2
"Jonathan Stewart (CAR, RB)",129.2,10.8,6.5,0.8,-0.9,-0.5,-3.7,1.4,1.1,-1.6,-1.9,-1.7,-5.3
"Isaiah Crowell (CLE, RB)",151.5,10.1,6.3,1.0,-1.5,-1.2,-4.4,0.3,-0.1,-2.8,-3.6,-3.4,-6.9
"Todd Gurley (LA, RB)",149.5,10.0,5.9,1.0,-1.7,-1.3,-4.5,-1.0,-1.3,-4.0,-2.2,-2.0,-5.6
"Ryan Mathews (PHI, RB)",129.6,10.0,5.2,0.9,-1.7,-1.3,-4.5,-2.9,-3.2,-5.9,-0.2,0.0,-3.6
"Terrance West (BAL, RB)",131.5,8.8,3.6,1.0,-2.9,-2.5,-5.7,-2.2,-2.6,-5.3,-3.4,-3.2,-6.8
"Rob Kelley (WAS, RB)",115.3,8.9,3.2,0.9,-2.8,-2.4,-5.6,-6.9,-7.2,-9.9,0.8,1.0,-2.6
"Christine Michael (GB, RB)",113.4,8.1,2.4,0.9,-3.5,-3.2,-6.4,0.8,0.5,-2.2,-7.9,-7.7,-11.2
"Bilal Powell (NYJ, RB)",119.3,8.0,2.4,1.0,-3.7,-3.3,-6.5,-6.3,-6.6,-9.3,-0.7,-0.5,-4.0
"Mike Gillislee (BUF, RB)",103.6,7.4,1.7,0.9,-4.2,-3.9,-7.1,-5.7,-6.1,-8.8,-2.2,-2.0,-5.6
"Rashad Jennings (NYG, RB)",89.7,7.5,1.5,0.8,-4.2,-3.8,-7.0,-5.2,-5.5,-8.2,-3.6,-3.4,-7.0
"Devontae Booker (DEN, RB)",94.8,6.3,1.0,1.0,-5.3,-5.0,-8.1,-5.2,-5.6,-8.3,-5.4,-5.2,-8.7
"Tim Hightower (NO, RB)",93.9,6.3,0.9,1.0,-5.4,-5.0,-8.2,-8.9,-9.2,-11.9,-2.2,-2.0,-5.6
"Jalen Richard (OAK, RB)",82.8,5.5,0.6,1.0,-6.1,-5.8,-8.9,-6.8,-7.1,-9.8,-5.3,-5.1,-8.7
