Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Aaron Rodgers (GB, QB)",351.8,23.5,35.9,1.0,6.2,6.0,3.8,4.9,4.1,2.3,7.5,7.5,4.9
"Drew Brees (NO, QB)",320.3,21.4,24.6,1.0,4.1,3.9,1.7,5.8,5.0,3.2,2.8,2.8,0.2
"Matt Ryan (ATL, QB)",318.0,21.2,24.0,1.0,4.0,3.7,1.5,5.0,4.2,2.3,2.9,2.9,0.3
"Kirk Cousins (WAS, QB)",295.2,19.7,17.8,1.0,2.5,2.2,0.0,0.3,-0.5,-2.3,4.9,5.0,2.4
"Tom Brady (NE, QB)",232.9,21.2,17.5,0.7,4.0,3.7,1.5,8.7,7.9,6.1,1.4,1.5,-1.1
"Dak Prescott (DAL, QB)",292.5,19.5,17.1,1.0,2.3,2.0,-0.2,2.1,1.2,-0.6,2.6,2.6,0.0
"Marcus Mariota (TEN, QB)",270.7,18.0,12.6,1.0,0.8,0.6,-1.6,0.8,0.0,-1.8,0.9,0.9,-1.7
"Derek Carr (OAK, QB)",264.2,17.6,11.4,1.0,0.4,0.2,-2.1,2.6,1.7,-0.1,-2.1,-2.0,-4.6
"Ben Roethlisberger (PIT, QB)",250.2,17.9,11.3,0.9,0.7,0.4,-1.8,2.7,1.8,0.0,-0.7,-0.7,-3.3
"Matthew Stafford (DET, QB)",261.9,17.5,11.0,1.0,0.3,0.0,-2.2,1.8,1.0,-0.9,-1.5,-1.5,-4.1
"Philip Rivers (SD, QB)",254.2,16.9,9.8,1.0,-0.3,-0.5,-2.7,-0.1,-0.9,-2.8,-0.4,-0.4,-3.0
"Andy Dalton (CIN, QB)",253.2,16.9,9.6,1.0,-0.3,-0.6,-2.8,0.9,0.0,-1.8,-1.7,-1.7,-4.3
"Jameis Winston (TB, QB)",250.5,16.7,9.2,1.0,-0.5,-0.8,-3.0,-0.2,-1.0,-2.8,-0.7,-0.6,-3.3
"Blake Bortles (JAC, QB)",250.0,16.7,9.1,1.0,-0.5,-0.8,-3.0,0.6,-0.3,-2.1,-1.4,-1.4,-4.0
"Russell Wilson (SEA, QB)",245.9,16.4,8.6,1.0,-0.8,-1.1,-3.3,-4.3,-5.1,-6.9,2.3,2.4,-0.3
"Carson Palmer (ARI, QB)",229.1,16.4,7.9,0.9,-0.8,-1.1,-3.3,-1.6,-2.4,-4.2,-0.0,0.0,-2.6
"Joe Flacco (BAL, QB)",231.3,15.4,6.7,1.0,-1.8,-2.0,-4.3,-4.0,-4.8,-6.7,0.3,0.3,-2.3
"Eli Manning (NYG, QB)",225.0,15.0,6.0,1.0,-2.2,-2.5,-4.7,-3.4,-4.3,-6.1,-1.0,-1.0,-3.6
"Sam Bradford (MIN, QB)",208.0,14.9,5.4,0.9,-2.4,-2.6,-4.8,-3.0,-3.8,-5.6,-1.7,-1.7,-4.3
"Carson Wentz (PHI, QB)",195.2,13.0,3.4,1.0,-4.2,-4.4,-6.7,-4.0,-4.8,-6.6,-4.3,-4.3,-6.9
