Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Russell Wilson (SEA, QB)",323.2,21.5,34.0,1.0,4.7,5.0,3.2,5.5,7.2,2.3,3.9,3.7,2.2
"Alex Smith (WAS, QB)",295.2,19.7,28.3,1.0,2.8,3.1,1.3,4.6,6.3,1.4,0.8,0.5,-1.0
"Carson Wentz (PHI, QB)",273.7,21.1,28.1,0.9,4.2,4.5,2.7,3.9,5.5,0.7,4.8,4.5,3.0
"Cam Newton (CAR, QB)",286.4,19.1,26.7,1.0,2.2,2.6,0.7,-0.1,1.6,-3.3,4.9,4.6,3.1
"Tom Brady (NE, QB)",275.2,18.3,24.6,1.0,1.5,1.8,0.0,3.2,4.9,0.0,-0.5,-0.7,-2.2
"Kirk Cousins (MIN, QB)",270.1,18.0,23.7,1.0,1.2,1.5,-0.3,2.1,3.8,-1.1,0.2,0.0,-1.5
"Ben Roethlisberger (PIT, QB)",257.1,17.1,21.5,1.0,0.3,0.6,-1.2,-4.1,-2.4,-7.3,5.2,5.0,3.5
"Jared Goff (LA, QB)",255.5,17.0,21.2,1.0,0.2,0.5,-1.3,-1.7,-0.0,-4.9,1.7,1.5,-0.0
"Drew Brees (NO, QB)",248.7,16.6,20.1,1.0,-0.3,0.1,-1.8,0.4,2.1,-2.8,-0.9,-1.2,-2.7
"Dak Prescott (DAL, QB)",247.9,16.5,20.0,1.0,-0.3,0.0,-1.8,4.1,5.7,0.9,-4.2,-4.5,-6.0
"Matthew Stafford (DET, QB)",244.5,16.3,19.5,1.0,-0.5,-0.2,-2.0,-0.6,1.0,-3.8,-0.5,-0.8,-2.3
"Philip Rivers (SD, QB)",242.4,16.2,19.1,1.0,-0.7,-0.4,-2.2,-1.8,-0.2,-5.0,0.6,0.4,-1.2
"Blake Bortles (JAC, QB)",240.6,16.0,18.8,1.0,-0.8,-0.5,-2.3,-3.7,-2.0,-6.8,1.6,1.4,-0.2
"Case Keenum (DEN, QB)",224.0,16.0,17.5,0.9,-0.8,-0.5,-2.3,-3.5,-1.9,-6.7,1.8,1.5,0.0
"Matt Ryan (ATL, QB)",210.0,14.0,14.4,1.0,-2.8,-2.5,-4.3,-2.5,-0.8,-5.7,-3.2,-3.5,-5.0
"Marcus Mariota (TEN, QB)",197.1,14.1,13.5,0.9,-2.8,-2.4,-4.3,-1.7,0.0,-4.9,-3.7,-3.9,-5.5
"Derek Carr (OAK, QB)",192.6,13.8,12.9,0.9,-3.1,-2.8,-4.6,-1.8,-0.2,-5.0,-4.4,-4.6,-6.2
"Jameis Winston (TB, QB)",177.9,14.8,12.9,0.8,-2.0,-1.7,-3.5,-2.1,-0.4,-5.3,-1.9,-2.1,-3.7
"Andy Dalton (CIN, QB)",190.0,12.7,11.7,1.0,-4.2,-3.9,-5.7,-3.4,-1.7,-6.6,-4.9,-5.2,-6.7
"Eli Manning (NYG, QB)",180.4,12.9,11.3,0.9,-4.0,-3.6,-5.5,-2.7,-1.1,-5.9,-5.2,-5.5,-7.0
