Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Todd Gurley (LA, RB)",319.2,21.3,106.0,1.0,10.8,10.9,6.8,9.1,8.5,3.9,12.3,10.9,9.4
"Le'Veon Bell (PIT, RB)",257.4,17.2,68.9,1.0,6.6,6.8,2.6,5.4,4.8,0.2,8.2,6.7,5.2
"Kareem Hunt (KC, RB)",232.7,15.5,56.3,1.0,5.0,5.2,1.0,7.3,6.7,2.1,2.5,1.0,-0.5
"Melvin Gordon (SD, RB)",217.7,14.5,49.3,1.0,4.0,4.2,0.0,5.2,4.6,0.0,2.8,1.3,-0.2
"Mark Ingram (NO, RB)",214.6,14.3,47.9,1.0,3.8,4.0,-0.2,1.6,1.0,-3.6,5.8,4.3,2.8
"Alvin Kamara (NO, RB)",212.6,14.2,47.0,1.0,3.6,3.8,-0.3,-0.6,-1.2,-5.8,7.5,6.0,4.5
"Ezekiel Elliott (DAL, RB)",163.1,18.1,46.1,0.6,7.6,7.8,3.6,9.1,8.5,3.9,2.9,1.5,0.0
"Leonard Fournette (JAC, RB)",183.6,15.3,43.8,0.8,4.8,5.0,0.8,9.4,8.7,4.2,0.3,-1.2,-2.7
"LeSean McCoy (BUF, RB)",201.5,13.4,42.3,1.0,2.9,3.1,-1.1,2.9,2.2,-2.3,3.0,1.6,0.1
"Jordan Howard (CHI, RB)",175.1,11.7,31.9,1.0,1.1,1.3,-2.8,1.7,1.0,-3.5,0.7,-0.7,-2.2
"Devonta Freeman (ATL, RB)",147.4,11.3,26.1,0.9,0.8,1.0,-3.2,2.4,1.7,-2.9,-0.8,-2.2,-3.7
"Carlos Hyde (CLE, RB)",155.0,10.3,25.0,1.0,-0.2,0.0,-4.2,0.7,0.0,-4.6,-1.0,-2.4,-3.9
"Lamar Miller (HOU, RB)",153.8,10.3,24.6,1.0,-0.3,-0.1,-4.3,2.0,1.3,-3.2,-2.1,-3.6,-5.1
"Dion Lewis (TEN, RB)",139.7,9.3,20.3,1.0,-1.2,-1.0,-5.2,-4.7,-5.3,-9.9,2.9,1.5,-0.0
"C.J. Anderson (CAR, RB)",139.0,9.3,20.1,1.0,-1.3,-1.1,-5.2,-0.6,-1.2,-5.8,-1.7,-3.2,-4.7
"Marshawn Lynch (OAK, RB)",132.4,9.5,19.5,0.9,-1.1,-0.9,-5.1,-4.2,-4.9,-9.5,2.2,0.8,-0.7
"Alex Collins (BAL, RB)",132.4,9.5,19.5,0.9,-1.1,-0.9,-5.1,-3.6,-4.3,-8.8,1.6,0.2,-1.3
"Frank Gore (MIA, RB)",133.5,8.9,18.5,1.0,-1.6,-1.4,-5.6,-2.3,-2.9,-7.5,-0.7,-2.2,-3.7
"Bilal Powell (NYJ, RB)",116.6,8.3,15.2,0.9,-2.2,-2.0,-6.2,-2.1,-2.7,-7.3,-2.2,-3.6,-5.1
"Latavius Murray (MIN, RB)",119.0,7.9,14.7,1.0,-2.6,-2.4,-6.6,-6.0,-6.6,-11.2,1.4,0.0,-1.5
"Jay Ajayi (PHI, RB)",111.1,7.9,13.8,0.9,-2.6,-2.4,-6.6,-3.0,-3.6,-8.2,-2.1,-3.5,-5.0
"Isaiah Crowell (NYJ, RB)",111.4,7.4,12.9,1.0,-3.1,-2.9,-7.1,-3.4,-4.0,-8.6,-2.6,-4.0,-5.5
"Jonathan Stewart (NYG, RB)",109.2,7.3,12.4,1.0,-3.2,-3.1,-7.2,-4.4,-5.0,-9.6,-1.8,-3.2,-4.7
"Derrick Henry (TEN, RB)",106.3,7.1,11.8,1.0,-3.4,-3.2,-7.4,-3.3,-4.0,-8.6,-3.4,-4.8,-6.3
"LeGarrette Blount (DET, RB)",92.8,6.2,9.0,1.0,-4.3,-4.1,-8.3,-1.9,-2.6,-7.1,-7.0,-8.4,-9.9
