Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Rob Gronkowski (NE, TE)",156.3,12.0,74.9,0.9,6.1,6.2,4.9,5.3,5.6,4.0,6.9,6.7,4.8
"Travis Kelce (KC, TE)",150.5,10.0,60.2,1.0,4.1,4.2,2.9,3.8,4.1,2.5,4.4,4.2,2.2
"Zach Ertz (PHI, TE)",126.0,9.7,48.7,0.9,3.7,3.9,2.6,4.6,4.9,3.3,2.2,2.0,0.0
"Evan Engram (NYG, TE)",109.6,7.3,31.9,1.0,1.4,1.5,0.2,1.2,1.5,-0.1,1.5,1.3,-0.6
"Jimmy Graham (GB, TE)",106.9,7.1,30.4,1.0,1.2,1.3,0.0,1.0,1.3,-0.3,1.3,1.1,-0.8
"Kyle Rudolph (MIN, TE)",100.9,6.7,27.0,1.0,0.8,0.9,-0.4,-0.6,-0.3,-1.9,2.3,2.1,0.2
"Delanie Walker (TEN, TE)",98.6,6.6,25.8,1.0,0.6,0.8,-0.6,-1.1,-0.8,-2.4,2.1,2.0,0.0
"Hunter Henry (SD, TE)",81.9,6.8,22.3,0.8,0.9,1.0,-0.3,0.9,1.3,-0.4,0.8,0.6,-1.4
"Cameron Brate (TB, TE)",91.4,6.1,22.2,1.0,0.1,0.3,-1.0,3.0,3.3,1.7,-2.3,-2.5,-4.4
"Jack Doyle (IND, TE)",79.2,5.7,17.9,0.9,-0.3,-0.1,-1.5,0.3,0.6,-1.0,-0.9,-1.1,-3.0
"O.J. Howard (TB, TE)",75.2,5.8,17.3,0.9,-0.2,0.0,-1.3,-0.5,-0.2,-1.8,0.2,0.0,-2.0
"Eric Ebron (IND, TE)",78.5,5.2,16.4,1.0,-0.7,-0.6,-1.9,-3.1,-2.8,-4.4,1.4,1.2,-0.7
"Vernon Davis (WAS, TE)",76.8,5.1,15.7,1.0,-0.8,-0.7,-2.0,-1.2,-0.9,-2.5,-0.5,-0.7,-2.6
"Jared Cook (OAK, TE)",75.2,5.0,15.0,1.0,-0.9,-0.8,-2.1,-1.1,-0.8,-2.4,-0.8,-1.0,-3.0
"Benjamin Watson (NO, TE)",70.1,4.7,13.1,1.0,-1.3,-1.1,-2.5,-2.0,-1.7,-3.3,-0.5,-0.7,-2.6
"Charles Clay (BUF, TE)",61.4,5.1,12.5,0.8,-0.8,-0.7,-2.0,1.3,1.6,0.0,-2.3,-2.5,-4.4
"Austin Hooper (ATL, TE)",67.1,4.5,12.0,1.0,-1.5,-1.3,-2.7,-0.3,0.0,-1.6,-2.5,-2.7,-4.6
"George Kittle (SF, TE)",53.5,3.8,8.1,0.9,-2.1,-2.0,-3.3,-2.4,-2.1,-3.7,-1.9,-2.1,-4.1
"Ed Dickson (SEA, TE)",47.5,3.7,6.9,0.9,-2.3,-2.1,-3.5,-1.9,-1.6,-3.2,-3.2,-3.3,-5.3
"Seth DeValve (CLE, TE)",43.5,2.9,5.0,1.0,-3.1,-2.9,-4.2,-3.1,-2.8,-4.4,-3.1,-3.3,-5.2
