Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Antonio Brown (OAK, WR)",219.7,14.6,55.8,1.0,3.8,3.9,2.1,3.7,3.4,1.7,4.2,5.0,0.9
"Tyreek Hill (KC, WR)",217.4,14.5,54.7,1.0,3.7,3.8,1.9,3.5,3.3,1.6,4.0,4.7,0.7
"Davante Adams (GB, WR)",216.6,14.4,54.2,1.0,3.6,3.7,1.9,3.9,3.6,2.0,3.6,4.3,0.3
"DeAndre Hopkins (HOU, WR)",203.8,13.6,48.0,1.0,2.8,2.8,1.0,2.9,2.7,1.0,2.7,3.5,-0.6
"Julio Jones (ATL, WR)",193.1,12.9,43.1,1.0,2.1,2.1,0.3,0.4,0.1,-1.6,3.7,4.5,0.5
"Adam Thielen (MIN, WR)",188.6,12.6,41.1,1.0,1.8,1.8,0.0,4.9,4.6,3.0,-1.7,-0.9,-5.0
"Michael Thomas (NO, WR)",187.6,12.5,40.7,1.0,1.7,1.8,-0.1,1.3,1.1,-0.6,2.2,3.0,-1.1
"Robert Woods (LA, WR)",177.1,11.8,36.3,1.0,1.0,1.1,-0.8,0.7,0.4,-1.3,1.5,2.2,-1.8
"Mike Evans (TB, WR)",175.8,11.7,35.7,1.0,0.9,1.0,-0.9,3.1,2.8,1.1,-0.8,0.0,-4.0
"JuJu Smith-Schuster (PIT, WR)",174.2,11.6,35.1,1.0,0.8,0.9,-1.0,-0.9,-1.2,-2.8,2.5,3.2,-0.8
"Odell Beckham (CLE, WR)",153.3,12.8,34.0,0.8,2.0,2.0,0.2,0.9,0.6,-1.1,4.1,4.8,0.8
"T.Y. Hilton (IND, WR)",156.9,12.1,32.8,0.9,1.2,1.3,-0.5,-1.2,-1.5,-3.2,3.6,4.3,0.3
"Keenan Allen (SD, WR)",154.7,11.0,29.6,0.9,0.2,0.3,-1.5,-2.6,-2.9,-4.6,3.3,4.0,0.0
"Stefon Diggs (MIN, WR)",151.6,10.8,28.5,0.9,0.0,0.1,-1.7,-0.3,-0.6,-2.3,0.5,1.3,-2.8
"Tyler Lockett (SEA, WR)",150.5,10.0,26.2,1.0,-0.8,-0.7,-2.5,0.1,-0.1,-1.8,-1.4,-0.6,-4.6
"Tyler Boyd (CIN, WR)",145.1,10.4,26.1,0.9,-0.5,-0.4,-2.2,0.5,0.2,-1.5,-1.6,-0.8,-4.8
"Brandin Cooks (LA, WR)",145.0,10.4,26.0,0.9,-0.5,-0.4,-2.2,0.3,0.0,-1.7,-1.0,-0.2,-4.3
"Amari Cooper (DAL, WR)",139.4,10.0,24.1,0.9,-0.9,-0.8,-2.6,-5.3,-5.5,-7.2,2.7,3.5,-0.6
"Emmanuel Sanders (DEN, WR)",127.2,10.6,23.4,0.8,-0.2,-0.1,-2.0,1.4,1.1,-0.6,-3.5,-2.7,-6.8
"Julian Edelman (NE, WR)",118.1,10.7,22.0,0.7,-0.1,0.0,-1.8,-1.3,-1.6,-3.3,0.9,1.7,-2.4
"Kenny Golladay (DET, WR)",137.1,9.1,21.7,1.0,-1.7,-1.6,-3.4,-1.7,-2.0,-3.7,-1.5,-0.7,-4.7
"Calvin Ridley (ATL, WR)",133.6,8.9,20.6,1.0,-1.9,-1.8,-3.7,-0.1,-0.4,-2.1,-3.2,-2.5,-6.5
"DeSean Jackson (PHI, WR)",110.3,9.2,17.6,0.8,-1.6,-1.5,-3.4,2.0,1.7,0.0,-6.6,-5.8,-9.8
"Alshon Jeffery (PHI, WR)",108.4,9.0,17.0,0.8,-1.8,-1.7,-3.5,0.5,0.3,-1.4,-3.2,-2.4,-6.5
"Jarvis Landry (CLE, WR)",117.9,7.9,16.1,1.0,-3.0,-2.9,-4.7,-3.0,-3.3,-4.9,-2.8,-2.0,-6.1
"Corey Davis (TEN, WR)",113.8,7.6,15.0,1.0,-3.2,-3.2,-5.0,-4.6,-4.9,-6.5,-1.8,-1.1,-5.1
"Golden Tate (NYG, WR)",103.6,7.4,13.3,0.9,-3.4,-3.3,-5.2,-0.5,-0.8,-2.5,-6.1,-5.4,-9.4
"Sterling Shepard (NYG, WR)",106.9,7.1,13.2,1.0,-3.7,-3.6,-5.4,-2.8,-3.1,-4.8,-4.6,-3.8,-7.8
"Adam Humphries (TEN, WR)",106.1,7.1,13.0,1.0,-3.7,-3.7,-5.5,-6.8,-7.1,-8.8,-0.9,-0.1,-4.1
"Allen Robinson (CHI, WR)",98.3,7.6,12.9,0.9,-3.3,-3.2,-5.0,-4.3,-4.6,-6.3,-2.1,-1.3,-5.4
