Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Adrian Peterson (NO, RB)",237.0,16.9,81.6,0.9,11.5,7.9,2.3,14.0,10.8,4.0,9.1,4.0,1.2
"Darren McFadden (DAL, RB)",220.4,17.0,76.0,0.9,11.5,7.9,2.3,15.8,12.5,5.8,7.9,2.8,0.0
"Jamaal Charles (DEN, RB)",221.5,14.8,66.6,1.0,9.3,5.7,0.2,8.7,5.4,-1.3,9.9,4.9,2.0
"LeSean McCoy (BUF, RB)",219.2,14.6,65.2,1.0,9.2,5.6,0.0,10.0,6.8,0.0,8.5,3.4,0.6
"Matt Forte (NYJ, RB)",196.5,13.1,52.4,1.0,7.7,4.1,-1.5,8.9,5.7,-1.1,6.6,1.5,-1.3
"Frank Gore (IND, RB)",156.5,14.2,45.3,0.7,8.8,5.2,-0.4,10.5,7.3,0.5,5.1,0.0,-2.8
"LeGarrette Blount (PHI, RB)",127.3,10.6,27.5,0.8,5.2,1.6,-4.0,4.8,1.5,-5.2,5.2,0.2,-2.7
"Danny Woodhead (BAL, RB)",126.7,9.0,23.3,0.9,3.6,0.0,-5.6,3.3,0.0,-6.8,3.9,-1.2,-4.0
"Chris Ivory (JAC, RB)",96.0,8.7,17.0,0.7,3.3,-0.3,-5.9,0.2,-3.1,-9.8,7.2,2.2,-0.7
"Marshawn Lynch (OAK, RB)",111.4,7.4,16.8,1.0,2.0,-1.6,-7.2,0.2,-3.1,-9.9,3.6,-1.4,-4.3
"Tim Hightower (SF, RB)",106.0,7.1,15.2,1.0,1.6,-2.0,-7.5,1.0,-2.2,-9.0,2.2,-2.9,-5.7
"Jonathan Stewart (CAR, RB)",94.2,7.2,13.9,0.9,1.8,-1.8,-7.4,0.2,-3.0,-9.8,3.8,-1.2,-4.1
"Ryan Mathews (PHI, RB)",86.1,7.8,13.7,0.7,2.4,-1.2,-6.8,2.0,-1.2,-8.0,3.4,-1.6,-4.5
"Darren Sproles (PHI, RB)",78.1,5.2,8.3,1.0,-0.2,-3.8,-9.4,0.2,-3.1,-9.8,-0.5,-5.6,-8.4
"C.J. Spiller (KC, RB)",43.5,3.3,3.0,0.9,-2.1,-5.7,-11.3,-1.5,-4.7,-11.5,-2.7,-7.7,-10.6
"Cedric Peerman (CIN, RB)",0.1,0.0,0.0,0.3,-5.4,-9.0,-14.6,-5.0,-8.2,-15.0,-5.7,-10.8,-13.6
