Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Antonio Gates (SD, TE)",138.2,13.8,117.4,0.7,11.9,9.2,7.4,13.7,11.0,8.5,6.8,3.8,1.5
"Jason Witten (DAL, TE)",141.6,9.4,82.2,1.0,7.6,4.8,3.0,7.5,4.9,2.4,7.7,4.8,2.5
"Marcedes Lewis (JAC, TE)",119.4,8.0,58.4,1.0,6.1,3.3,1.5,7.7,5.1,2.6,4.5,1.5,-0.7
"Vernon Davis (WAS, TE)",118.9,7.9,57.9,1.0,6.0,3.3,1.5,7.2,4.5,2.1,5.0,2.0,-0.2
"Rob Gronkowski (NE, TE)",96.4,6.4,38.1,1.0,4.5,1.8,0.0,2.6,0.0,-2.5,6.3,3.4,1.1
"Benjamin Watson (BAL, TE)",87.5,5.8,31.4,1.0,3.9,1.2,-0.6,5.1,2.5,0.0,3.1,0.1,-2.1
"Brent Celek (PHI, TE)",75.1,5.4,24.8,0.9,3.5,0.7,-1.1,3.6,1.0,-1.5,3.5,0.6,-1.7
"Anthony Fasano (MIA, TE)",76.8,5.1,24.2,1.0,3.2,0.5,-1.3,3.7,1.0,-1.4,3.0,0.0,-2.2
"Jermaine Gresham (ARI, TE)",69.1,4.6,19.6,1.0,2.7,-0.1,-1.8,3.2,0.6,-1.9,2.4,-0.5,-2.8
"Jimmy Graham (SEA, TE)",58.4,5.3,19.1,0.7,3.4,0.7,-1.1,-0.1,-2.7,-5.2,5.4,2.4,0.2
"Greg Olsen (CAR, TE)",65.5,4.4,17.6,1.0,2.5,-0.3,-2.1,3.2,0.6,-1.9,2.0,-1.0,-3.2
"Michael Hoomanawanui (NO, TE)",32.6,4.7,9.3,0.5,2.8,0.0,-1.8,1.2,-1.4,-3.9,5.2,2.2,0.0
"Jared Cook (OAK, TE)",36.3,2.6,5.8,0.9,0.7,-2.1,-3.8,-0.5,-3.2,-5.7,2.2,-0.8,-3.0
"Delanie Walker (TEN, TE)",31.2,2.4,4.6,0.9,0.5,-2.3,-4.0,1.0,-1.7,-4.2,0.3,-2.7,-4.9
"Zach Miller (CHI, TE)",28.5,2.0,3.6,0.9,0.2,-2.6,-4.4,-0.3,-2.9,-5.4,0.8,-2.2,-4.4
"Martellus Bennett (GB, TE)",24.9,1.8,2.7,0.9,-0.1,-2.9,-4.6,0.1,-2.6,-5.0,-0.1,-3.1,-5.3
"Ed Dickson (CAR, TE)",21.2,1.8,2.3,0.8,-0.1,-2.9,-4.7,0.1,-2.6,-5.0,-0.1,-3.1,-5.3
"Logan Paulsen (SF, TE)",7.0,3.5,1.5,0.1,1.6,-1.2,-2.9,-1.4,-4.0,-6.5,1.3,-1.7,-3.9
"Clay Harbor (NO, TE)",10.0,1.7,1.0,0.4,-0.2,-3.0,-4.8,-1.4,-4.0,-6.5,-0.2,-3.2,-5.4
"David Johnson (PIT, TE)",4.6,0.8,0.2,0.4,-1.1,-3.9,-5.7,-0.9,-3.6,-6.0,-1.3,-4.2,-6.5
