Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Mike Wallace (BAL, WR)",173.1,11.5,258.9,1.0,7.5,7.6,3.2,5.1,4.7,0.0,9.8,8.6,5.4
"DeSean Jackson (TB, WR)",156.0,11.1,225.3,0.9,7.1,7.2,2.8,7.7,7.3,2.6,6.8,5.7,2.5
"Jeremy Maclin (BAL, WR)",158.0,10.5,215.7,1.0,6.5,6.6,2.2,8.0,7.7,2.9,5.3,4.2,1.0
"Kenny Britt (CLE, WR)",115.0,11.5,171.4,0.7,7.5,7.6,3.2,8.2,7.8,3.1,6.0,4.8,1.6
"Larry Fitzgerald (ARI, WR)",131.2,8.7,148.7,1.0,4.7,4.8,0.4,5.2,4.8,0.1,4.5,3.3,0.1
"Brandon Marshall (NYG, WR)",108.0,8.3,116.3,0.9,4.3,4.4,0.0,5.3,4.9,0.2,3.3,2.1,-1.1
"Pierre Garcon (SF, WR)",102.4,7.9,104.5,0.9,3.8,3.9,-0.4,3.3,2.9,-1.8,4.4,3.2,0.0
"Michael Crabtree (OAK, WR)",105.4,7.0,96.0,1.0,3.0,3.1,-1.3,3.1,2.7,-2.0,3.1,1.9,-1.3
"Dez Bryant (DAL, WR)",90.1,7.5,87.7,0.8,3.5,3.6,-0.8,3.6,3.2,-1.5,3.6,2.4,-0.8
"Danny Amendola (NE, WR)",92.1,6.1,73.3,1.0,2.1,2.2,-2.2,2.2,1.9,-2.8,2.1,1.0,-2.2
"Jordy Nelson (GB, WR)",60.3,4.0,31.4,1.0,-0.0,0.1,-4.3,-1.5,-1.9,-6.6,1.9,0.7,-2.5
"Arrelious Benn (JAC, WR)",55.0,3.9,28.0,0.9,-0.1,0.0,-4.4,-1.8,-2.2,-6.9,1.3,0.2,-3.0
"Emmanuel Sanders (DEN, WR)",46.0,3.8,22.9,0.8,-0.2,-0.1,-4.5,-2.6,-3.0,-7.7,1.2,0.0,-3.2
"Brandon Tate (BUF, WR)",51.2,3.4,22.6,1.0,-0.6,-0.5,-4.9,0.4,0.0,-4.7,-1.3,-2.5,-5.7
"Darrius Heyward-Bey (PIT, WR)",47.2,3.6,22.2,0.9,-0.4,-0.3,-4.7,1.1,0.7,-4.0,-1.9,-3.1,-6.3
"Brandon LaFell (CIN, WR)",46.5,3.6,21.6,0.9,-0.5,-0.4,-4.7,0.6,0.2,-4.5,-1.2,-2.3,-5.5
"Demaryius Thomas (DEN, WR)",36.4,4.0,19.1,0.6,0.0,0.1,-4.3,0.2,-0.1,-4.9,-0.5,-1.6,-4.8
"Andre Roberts (ATL, WR)",38.4,3.0,14.7,0.9,-1.1,-1.0,-5.4,-3.1,-3.4,-8.2,0.3,-0.8,-4.0
"Harry Douglas (TEN, WR)",33.0,2.4,10.1,0.9,-1.7,-1.6,-6.0,-0.1,-0.5,-5.2,-2.7,-3.8,-7.0
"Golden Tate (DET, WR)",22.5,2.2,6.6,0.7,-1.8,-1.7,-6.1,-1.5,-1.8,-6.6,-2.1,-3.2,-6.4
"Antonio Brown (PIT, WR)",11.5,1.4,2.1,0.5,-2.6,-2.5,-6.9,-3.8,-4.2,-8.9,-1.7,-2.9,-6.1
"Ted Ginn (NO, WR)",13.3,1.1,1.9,0.8,-2.9,-2.8,-7.2,-2.4,-2.8,-7.5,-3.1,-4.3,-7.5
"Eric Decker (TEN, WR)",6.4,0.7,0.6,0.6,-3.3,-3.2,-7.6,-4.0,-4.4,-9.1,-2.8,-4.0,-7.2
"Eric Weems (TEN, WR)",6.1,0.4,0.3,1.0,-3.6,-3.5,-7.9,-3.5,-3.9,-8.6,-3.6,-4.7,-7.9
"Julian Edelman (NE, WR)",1.5,0.1,0.0,0.9,-3.9,-3.8,-8.2,-3.7,-4.1,-8.8,-3.9,-5.0,-8.2
"Matthew Slater (NE, WR)",0.0,0.0,0.0,0.6,-4.0,-3.9,-8.3,-4.0,-4.4,-9.1,-3.9,-5.0,-8.2
