Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"LeSean McCoy (BUF, RB)",280.4,18.7,89.2,1.0,16.5,9.8,4.6,19.5,13.2,6.9,14.7,8.1,5.1
"Marshawn Lynch (OAK, RB)",206.5,14.8,51.8,0.9,12.6,5.9,0.7,6.2,0.0,-6.3,18.0,11.4,8.4
"Adrian Peterson (NO, RB)",189.2,15.8,50.7,0.8,13.6,6.9,1.7,17.2,10.9,4.6,7.5,0.9,-2.1
"Ryan Mathews (PHI, RB)",186.6,13.3,42.3,0.9,11.2,4.5,-0.7,12.6,6.3,0.0,10.5,3.9,0.9
"Matt Forte (NYJ, RB)",168.7,14.1,40.3,0.8,11.9,5.2,0.0,16.3,10.1,3.7,6.6,0.0,-3.0
"Frank Gore (IND, RB)",175.6,11.7,35.0,1.0,9.6,2.9,-2.4,12.5,6.3,-0.1,7.7,1.1,-1.9
"Darren Sproles (PHI, RB)",172.5,11.5,33.7,1.0,9.4,2.6,-2.6,9.8,3.6,-2.8,9.6,3.0,0.0
"Darren McFadden (DAL, RB)",104.8,15.0,26.7,0.5,12.8,6.1,0.9,13.1,6.9,0.5,-1.7,-8.3,-11.3
"Jonathan Stewart (CAR, RB)",132.8,8.9,20.0,1.0,6.7,0.0,-5.2,6.5,0.2,-6.1,7.7,1.1,-1.9
"DeMarco Murray (TEN, RB)",119.8,9.2,18.8,0.9,7.1,0.4,-4.8,5.0,-1.3,-7.6,10.3,3.7,0.7
"LeGarrette Blount (PHI, RB)",114.3,8.8,17.1,0.9,6.6,-0.1,-5.3,9.5,3.2,-3.1,5.5,-1.1,-4.1
"C.J. Spiller (KC, RB)",103.0,6.9,12.0,1.0,4.7,-2.0,-7.2,1.4,-4.8,-11.1,8.3,1.7,-1.3
"Mark Ingram (NO, RB)",80.4,8.0,11.0,0.7,5.9,-0.8,-6.0,5.5,-0.7,-7.0,7.8,1.2,-1.8
"Tim Hightower (SF, RB)",49.7,9.9,8.4,0.3,7.8,1.1,-4.1,8.1,1.8,-4.5,-1.7,-8.3,-11.3
"Danny Woodhead (BAL, RB)",55.3,3.9,3.7,0.9,1.8,-4.9,-10.1,1.2,-5.0,-11.4,2.9,-3.7,-6.7
"Chris Ivory (JAC, RB)",24.7,4.9,2.1,0.3,2.8,-3.9,-9.1,-0.1,-6.3,-12.6,4.0,-2.6,-5.6
"Jacquizz Rodgers (TB, RB)",42.4,2.8,2.0,1.0,0.7,-6.0,-11.2,0.3,-5.9,-12.3,1.7,-4.9,-7.9
"Jamaal Charles (DEN, RB)",13.2,6.6,1.5,0.1,4.5,-2.3,-7.5,4.7,-1.5,-7.8,-1.7,-8.3,-11.3
"Shane Vereen (NYG, RB)",11.7,3.9,0.8,0.2,1.8,-5.0,-10.2,-1.9,-8.1,-14.4,4.1,-2.5,-5.4
"Taiwan Jones (OAK, RB)",9.8,1.1,0.2,0.6,-1.1,-7.8,-13.0,-0.9,-7.2,-13.5,-0.3,-6.9,-9.9
"Bilal Powell (NYJ, RB)",2.8,1.4,0.1,0.1,-0.7,-7.5,-12.7,-1.9,-8.1,-14.4,-0.3,-6.9,-9.9
"Dion Lewis (NE, RB)",2.1,0.2,0.0,0.8,-2.0,-8.7,-13.9,-1.4,-7.6,-14.0,-1.7,-8.3,-11.3
"Cedric Peerman (CIN, RB)",1.5,0.1,0.0,0.8,-2.0,-8.7,-13.9,-1.9,-8.1,-14.4,-1.5,-8.1,-11.1
