Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Victor Cruz (CHI, WR)",183.0,12.2,86.1,1.0,10.7,5.6,2.3,8.8,4.6,0.4,12.7,8.5,4.4
"Jordy Nelson (GB, WR)",182.1,12.1,85.3,1.0,10.6,5.6,2.3,8.6,4.4,0.2,12.7,8.5,4.4
"Larry Fitzgerald (ARI, WR)",174.2,11.6,78.0,1.0,10.1,5.0,1.7,8.9,4.7,0.5,11.5,7.3,3.2
"Mike Wallace (BAL, WR)",169.9,11.3,74.2,1.0,9.8,4.8,1.4,12.4,8.2,4.0,7.2,3.0,-1.1
"A.J. Green (CIN, WR)",150.4,10.7,62.3,0.9,9.2,4.2,0.9,10.3,6.1,1.9,8.5,4.3,0.2
"Brandon Marshall (NYG, WR)",151.1,10.1,58.7,1.0,8.6,3.5,0.2,7.1,2.9,-1.3,10.2,6.0,1.9
"Dez Bryant (DAL, WR)",138.3,9.9,52.7,0.9,8.4,3.3,0.0,8.7,4.5,0.3,8.4,4.2,0.1
"Julio Jones (ATL, WR)",127.0,10.6,51.8,0.8,9.1,4.0,0.7,5.9,1.7,-2.5,11.7,7.5,3.4
"Torrey Smith (PHI, WR)",126.7,9.1,44.2,0.9,7.6,2.5,-0.8,7.1,2.9,-1.3,8.2,4.0,-0.1
"Pierre Garcon (SF, WR)",127.3,8.5,41.7,1.0,7.0,1.9,-1.4,8.4,4.2,0.0,5.7,1.5,-2.6
"Antonio Brown (PIT, WR)",117.9,7.9,35.7,1.0,6.4,1.3,-2.0,4.9,0.7,-3.5,8.3,4.1,0.1
"Jeremy Maclin (BAL, WR)",103.5,8.6,34.4,0.8,7.1,2.1,-1.3,9.5,5.3,1.1,4.2,0.0,-4.1
"DeSean Jackson (TB, WR)",107.6,7.7,31.9,0.9,6.2,1.1,-2.2,7.2,3.0,-1.2,5.5,1.3,-2.8
"Eric Decker (TEN, WR)",106.8,7.1,29.3,1.0,5.6,0.5,-2.8,7.7,3.5,-0.7,4.1,-0.1,-4.2
"Darrius Heyward-Bey (PIT, WR)",100.5,7.2,27.8,0.9,5.7,0.6,-2.7,6.8,2.6,-1.6,5.2,1.0,-3.1
"Kenny Britt (CLE, WR)",44.9,15.0,25.9,0.2,13.5,8.4,5.1,13.5,9.3,5.1,-1.2,-5.4,-9.5
"Doug Baldwin (SEA, WR)",98.6,6.6,25.0,1.0,5.1,0.0,-3.3,6.0,1.8,-2.4,4.6,0.4,-3.7
"Demaryius Thomas (DEN, WR)",76.2,8.5,24.9,0.6,7.0,1.9,-1.4,3.4,-0.8,-5.0,8.3,4.1,0.0
"Michael Crabtree (OAK, WR)",90.8,6.5,22.7,0.9,5.0,-0.1,-3.4,3.9,-0.3,-4.5,6.1,1.9,-2.2
"Brandon LaFell (CIN, WR)",76.6,5.5,16.2,0.9,4.0,-1.1,-4.4,4.2,0.0,-4.2,4.1,-0.1,-4.2
"Andre Roberts (ATL, WR)",70.1,4.7,12.6,1.0,3.2,-1.9,-5.2,0.4,-3.8,-8.0,5.9,1.7,-2.4
"Arrelious Benn (JAC, WR)",61.4,4.4,10.4,0.9,2.9,-2.2,-5.5,3.7,-0.5,-4.7,2.4,-1.8,-5.9
"Harry Douglas (TEN, WR)",56.1,4.3,9.3,0.9,2.8,-2.3,-5.6,1.9,-2.3,-6.5,4.0,-0.2,-4.3
"Golden Tate (DET, WR)",53.5,3.8,7.9,0.9,2.3,-2.8,-6.1,1.0,-3.2,-7.4,3.6,-0.6,-4.7
"Emmanuel Sanders (DEN, WR)",40.0,4.0,6.2,0.7,2.5,-2.6,-5.9,3.2,-1.0,-5.2,0.3,-3.9,-8.0
"Randall Cobb (GB, WR)",38.0,2.5,3.7,1.0,1.0,-4.0,-7.3,1.5,-2.7,-6.9,0.9,-3.3,-7.3
"Jeremy Kerley (SF, WR)",29.5,2.3,2.6,0.9,0.8,-4.3,-7.6,0.5,-3.7,-7.9,1.4,-2.8,-6.9
"Ted Ginn (NO, WR)",28.8,2.1,2.3,0.9,0.6,-4.5,-7.8,-0.0,-4.2,-8.4,1.5,-2.7,-6.8
"Andrew Hawkins (NE, WR)",25.1,2.3,2.2,0.7,0.8,-4.3,-7.6,0.1,-4.1,-8.3,1.5,-2.7,-6.8
"Danny Amendola (NE, WR)",4.5,4.5,0.8,0.1,3.0,-2.1,-5.4,3.0,-1.2,-5.4,-1.2,-5.4,-9.5
"Eric Weems (TEN, WR)",8.2,0.5,0.2,1.0,-0.9,-6.0,-9.3,-1.4,-5.6,-9.8,-0.2,-4.4,-8.5
"Matthew Slater (NE, WR)",2.6,0.2,0.0,0.9,-1.3,-6.4,-9.7,-1.1,-5.3,-9.5,-1.2,-5.4,-9.5
"Julian Edelman (NE, WR)",1.6,0.1,0.0,0.8,-1.4,-6.4,-9.7,-0.8,-5.0,-9.2,-1.2,-5.4,-9.5
"Brandon Tate (BUF, WR)",-2.0,0.0,0.0,1.0,-1.5,-6.6,-9.9,-1.5,-5.7,-9.9,-1.2,-5.4,-9.5
"Dwayne Harris (NYG, WR)",0.0,0.0,0.0,0.4,-1.5,-6.6,-9.9,-1.5,-5.7,-9.9,-1.2,-5.4,-9.5
"Kamar Aiken (IND, WR)",0.0,0.0,0.0,0.1,-1.5,-6.6,-9.9,-1.5,-5.7,-9.9,-1.2,-5.4,-9.5
"Terrelle Pryor (WAS, WR)",0.0,0.0,0.0,0.1,-1.5,-6.6,-9.9,-1.5,-5.7,-9.9,-1.2,-5.4,-9.5
