Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Aaron Rodgers (GB, QB)",397.2,26.5,61.3,1.0,10.5,11.4,6.3,11.8,11.4,7.1,10.3,11.5,5.5
"Drew Brees (NO, QB)",355.9,23.7,49.3,1.0,7.8,8.6,3.5,6.1,5.7,1.4,10.9,12.1,6.0
"Cam Newton (CAR, QB)",354.1,23.6,48.8,1.0,7.7,8.5,3.4,8.9,8.5,4.2,7.4,8.6,2.5
"Tom Brady (NE, QB)",342.9,22.9,45.7,1.0,6.9,7.7,2.7,6.8,6.4,2.1,7.9,9.1,3.0
"Matthew Stafford (DET, QB)",302.9,20.2,35.7,1.0,4.2,5.1,0.0,4.7,4.3,0.0,4.9,6.1,0.0
"Matt Ryan (ATL, QB)",261.7,17.4,26.6,1.0,1.5,2.3,-2.7,-0.9,-1.3,-5.6,4.5,5.7,-0.4
"Eli Manning (NYG, QB)",252.7,16.8,24.8,1.0,0.9,1.7,-3.3,3.0,2.6,-1.7,-0.1,1.1,-4.9
"Philip Rivers (SD, QB)",230.5,15.4,20.7,1.0,-0.6,0.2,-4.8,-1.8,-2.2,-6.5,1.4,2.6,-3.5
"Mark Sanchez (CHI, QB)",226.8,15.1,20.0,1.0,-0.8,0.0,-5.1,0.4,0.0,-4.3,-1.0,0.2,-5.9
"Ben Roethlisberger (PIT, QB)",207.2,14.8,17.9,0.9,-1.1,-0.3,-5.4,1.3,0.9,-3.4,-3.1,-1.9,-8.0
"Ryan Fitzpatrick (TB, QB)",204.2,13.6,16.2,1.0,-2.3,-1.5,-6.6,1.2,0.8,-3.5,-4.5,-3.3,-9.4
"Andy Dalton (CIN, QB)",196.1,13.1,15.0,1.0,-2.9,-2.0,-7.1,-2.3,-2.7,-7.0,-2.5,-1.3,-7.3
"Matt Schaub (ATL, QB)",158.1,15.8,14.6,0.7,-0.1,0.7,-4.4,1.4,0.9,-3.3,-2.5,-1.3,-7.4
"Joe Flacco (BAL, QB)",193.3,12.9,14.5,1.0,-3.1,-2.2,-7.3,-2.1,-2.5,-6.7,-3.1,-1.9,-7.9
"Alex Smith (KC, QB)",190.7,12.7,14.1,1.0,-3.2,-2.4,-7.5,-2.0,-2.4,-6.7,-3.4,-2.2,-8.3
"Colt McCoy (WAS, QB)",160.2,12.3,11.5,0.9,-3.6,-2.8,-7.9,-1.2,-1.6,-5.9,-5.3,-4.1,-10.2
"Matt Moore (MIA, QB)",148.1,12.3,10.7,0.8,-3.6,-2.8,-7.9,-7.3,-7.7,-12.0,-1.2,0.0,-6.1
"Carson Palmer (ARI, QB)",112.8,12.5,8.2,0.6,-3.4,-2.6,-7.7,-15.1,-15.5,-19.8,-1.6,-0.3,-6.4
"Blaine Gabbert (ARI, QB)",109.0,7.8,4.9,0.9,-8.2,-7.3,-12.4,-7.9,-8.4,-12.6,-7.4,-6.2,-12.2
"Sam Bradford (MIN, QB)",86.9,8.7,4.4,0.7,-7.3,-6.4,-11.5,-5.3,-5.7,-10.0,-8.2,-7.0,-13.1
