Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Rob Gronkowski (NE, TE)",181.8,13.0,72.5,0.9,6.1,6.4,3.3,8.5,8.2,5.0,3.9,4.0,1.6
"Jordan Reed (WAS, TE)",152.7,11.7,55.1,0.9,4.9,5.2,2.1,3.5,3.2,0.0,5.8,6.0,3.6
"Greg Olsen (CAR, TE)",148.8,9.9,45.3,1.0,3.0,3.3,0.2,4.1,3.8,0.6,2.3,2.4,0.0
"Tyler Eifert (CIN, TE)",128.4,10.7,42.2,0.8,3.8,4.1,1.0,3.9,3.6,0.4,4.0,4.1,1.7
"Delanie Walker (TEN, TE)",135.4,9.7,40.2,0.9,2.8,3.1,0.0,0.3,-0.0,-3.2,4.8,4.9,2.5
"Travis Kelce (KC, TE)",112.5,7.5,25.9,1.0,0.6,0.9,-2.2,2.0,1.7,-1.5,-0.8,-0.7,-3.0
"Benjamin Watson (BAL, TE)",104.6,7.0,22.4,1.0,0.1,0.4,-2.7,1.2,0.9,-2.3,-0.9,-0.8,-3.2
"Antonio Gates (SD, TE)",83.6,8.4,21.5,0.7,1.5,1.8,-1.3,5.4,5.1,1.9,-0.1,0.0,-2.4
"Richard Rodgers (GB, TE)",88.2,5.9,15.9,1.0,-1.0,-0.7,-3.8,-1.9,-2.2,-5.4,-0.0,0.1,-2.3
"Julius Thomas (MIA, TE)",74.3,6.8,15.4,0.7,-0.1,0.2,-2.9,-1.3,-1.6,-4.8,0.4,0.5,-1.9
"Jimmy Graham (SEA, TE)",72.5,6.6,14.7,0.7,-0.3,0.0,-3.1,0.4,0.1,-3.1,-1.7,-1.6,-4.0
"Zach Ertz (PHI, TE)",78.1,5.6,13.4,0.9,-1.3,-1.0,-4.1,-2.9,-3.2,-6.3,0.4,0.5,-1.8
"Eric Ebron (DET, TE)",75.2,5.8,13.4,0.9,-1.1,-0.8,-3.9,1.2,0.8,-2.3,-2.9,-2.8,-5.1
"Crockett Gillmore (BAL, TE)",65.2,6.5,13.0,0.7,-0.4,-0.1,-3.2,0.3,0.0,-3.2,-1.1,-1.0,-3.4
"Kyle Rudolph (MIN, TE)",79.5,5.3,12.9,1.0,-1.6,-1.3,-4.4,-2.1,-2.4,-5.6,-1.0,-0.9,-3.2
"Zach Miller (CHI, TE)",73.9,5.7,12.9,0.9,-1.2,-0.9,-4.0,-6.0,-6.3,-9.5,1.9,2.0,-0.3
"Charles Clay (BUF, TE)",70.8,5.4,11.8,0.9,-1.4,-1.1,-4.2,0.0,-0.3,-3.5,-2.9,-2.8,-5.2
"Jason Witten (DAL, TE)",75.4,5.0,11.6,1.0,-1.9,-1.6,-4.6,-0.1,-0.5,-3.6,-3.2,-3.1,-5.5
"Martellus Bennett (GB, TE)",61.9,5.6,10.7,0.7,-1.3,-1.0,-4.0,-0.4,-0.7,-3.9,-2.5,-2.4,-4.8
"Jared Cook (OAK, TE)",46.1,3.1,4.3,1.0,-3.8,-3.5,-6.6,-3.5,-3.8,-7.0,-3.9,-3.8,-6.2
