Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Odell Beckham (NYG, WR)",217.8,15.6,66.7,0.9,9.3,6.4,3.7,7.6,3.7,1.7,12.1,9.0,6.9
"Antonio Brown (PIT, WR)",219.5,14.6,63.2,1.0,8.4,5.4,2.8,5.5,1.6,-0.5,12.2,9.1,7.0
"Julio Jones (ATL, WR)",218.2,14.5,62.5,1.0,8.3,5.3,2.7,9.6,5.7,3.6,7.3,4.2,2.1
"Allen Robinson (JAC, WR)",213.2,14.2,59.7,1.0,8.0,5.0,2.4,7.7,3.8,1.7,8.6,5.5,3.4
"Brandon Marshall (NYG, WR)",211.6,14.1,58.8,1.0,7.9,4.9,2.3,6.8,2.9,0.8,9.2,6.0,3.9
"DeAndre Hopkins (HOU, WR)",209.2,13.9,57.5,1.0,7.7,4.7,2.1,9.5,5.6,3.6,6.1,3.0,0.9
"Doug Baldwin (SEA, WR)",186.3,12.4,45.6,1.0,6.2,3.2,0.6,-0.0,-3.9,-6.0,13.7,10.6,8.5
"A.J. Green (CIN, WR)",178.3,11.9,41.7,1.0,5.6,2.7,0.1,6.9,3.0,0.9,5.0,1.8,-0.3
"Brandin Cooks (NE, WR)",167.6,11.2,36.9,1.0,4.9,2.0,-0.6,3.0,-0.9,-2.9,7.6,4.5,2.4
"Eric Decker (TEN, WR)",161.7,11.5,36.8,0.9,5.3,2.3,-0.3,5.4,1.5,-0.6,5.6,2.5,0.4
"Allen Hurns (JAC, WR)",159.3,11.4,35.7,0.9,5.1,2.2,-0.4,5.5,1.6,-0.5,5.2,2.1,0.0
"Sammy Watkins (BUF, WR)",145.2,12.1,34.6,0.8,5.9,2.9,0.3,0.8,-3.1,-5.1,8.6,5.5,3.4
"Larry Fitzgerald (ARI, WR)",160.0,10.7,33.6,1.0,4.4,1.5,-1.1,7.7,3.8,1.8,1.1,-2.0,-4.1
"Jarvis Landry (MIA, WR)",149.6,10.0,29.4,1.0,3.7,0.8,-1.8,4.5,0.6,-1.5,3.4,0.3,-1.8
"Jeremy Maclin (BAL, WR)",142.7,10.2,28.6,0.9,4.0,1.0,-1.6,3.9,0.0,-2.1,4.4,1.3,-0.8
"Martavis Bryant (PIT, WR)",120.2,12.0,28.4,0.7,5.8,2.8,0.2,8.6,4.7,2.6,4.8,1.7,-0.4
"Emmanuel Sanders (DEN, WR)",140.5,10.0,27.8,0.9,3.8,0.8,-1.8,4.6,0.7,-1.4,3.4,0.3,-1.8
"Demaryius Thomas (DEN, WR)",144.7,9.6,27.5,1.0,3.4,0.4,-2.2,4.7,0.8,-1.3,2.7,-0.4,-2.5
"Julian Edelman (NE, WR)",111.5,12.4,27.2,0.6,6.1,3.2,0.6,8.0,4.1,2.0,1.2,-1.9,-4.0
"John Brown (ARI, WR)",138.0,9.9,26.8,0.9,3.6,0.7,-2.0,4.7,0.8,-1.3,3.0,-0.1,-2.2
"Ted Ginn (NO, WR)",139.9,9.3,25.7,1.0,3.1,0.1,-2.5,2.3,-1.6,-3.7,4.2,1.1,-1.0
"Amari Cooper (OAK, WR)",138.7,9.2,25.3,1.0,3.0,0.0,-2.6,4.6,0.7,-1.4,2.0,-1.1,-3.2
"T.Y. Hilton (IND, WR)",138.0,9.2,25.0,1.0,3.0,0.0,-2.6,4.2,0.3,-1.8,2.0,-1.1,-3.2
"Michael Crabtree (OAK, WR)",136.8,9.1,24.6,1.0,2.9,-0.1,-2.7,3.6,-0.3,-2.3,2.6,-0.5,-2.6
"Alshon Jeffery (PHI, WR)",104.7,11.6,24.0,0.6,5.4,2.4,-0.2,9.5,5.6,3.6,3.5,0.4,-1.7
"Tavon Austin (LA, WR)",134.5,9.0,23.7,1.0,2.7,-0.2,-2.8,5.1,1.2,-0.9,1.0,-2.1,-4.2
"Mike Evans (TB, WR)",126.9,9.1,22.7,0.9,2.8,-0.1,-2.7,1.6,-2.3,-4.4,4.1,0.9,-1.1
"Keenan Allen (SD, WR)",94.5,11.8,22.0,0.5,5.6,2.6,0.0,6.0,2.1,0.0,-6.2,-9.3,-11.4
"Jordan Matthews (PHI, WR)",128.3,8.6,21.6,1.0,2.3,-0.6,-3.3,0.4,-3.5,-5.6,4.3,1.2,-0.9
"Michael Floyd (MIN, WR)",119.3,8.5,20.0,0.9,2.3,-0.7,-3.3,0.4,-3.5,-5.6,5.3,2.2,0.1
"Randall Cobb (GB, WR)",119.9,8.0,18.9,1.0,1.8,-1.2,-3.8,3.3,-0.6,-2.7,0.8,-2.3,-4.4
"Travis Benjamin (SD, WR)",118.5,7.9,18.4,1.0,1.7,-1.3,-3.9,4.2,0.3,-1.8,-0.7,-3.9,-5.9
"Golden Tate (DET, WR)",116.0,7.7,17.7,1.0,1.5,-1.5,-4.1,-0.4,-4.3,-6.4,4.2,1.1,-1.0
"Kamar Aiken (IND, WR)",114.8,7.7,17.3,1.0,1.4,-1.5,-4.2,-0.4,-4.3,-6.4,4.0,0.9,-1.2
"Rueben Randle (CHI, WR)",113.9,7.6,17.0,1.0,1.4,-1.6,-4.2,0.5,-3.4,-5.5,2.8,-0.3,-2.4
"Willie Snead (NO, WR)",109.5,7.8,16.9,0.9,1.6,-1.4,-4.0,2.6,-1.3,-3.3,0.7,-2.4,-4.5
"Donte Moncrief (IND, WR)",109.5,7.3,15.7,1.0,1.1,-1.9,-4.5,2.9,-1.0,-3.1,-0.6,-3.7,-5.8
"Stefon Diggs (MIN, WR)",96.5,8.0,15.3,0.8,1.8,-1.2,-3.8,7.9,4.0,1.9,-1.0,-4.1,-6.2
"Rishard Matthews (TEN, WR)",90.6,8.2,14.7,0.7,2.0,-1.0,-3.6,4.7,0.8,-1.2,-2.1,-5.2,-7.3
"Marvin Jones (DET, WR)",105.1,7.0,14.5,1.0,0.8,-2.2,-4.8,1.7,-2.2,-4.3,0.4,-2.8,-4.8
"Pierre Garcon (SF, WR)",102.8,6.9,13.9,1.0,0.6,-2.3,-5.0,1.7,-2.2,-4.2,0.0,-3.1,-5.2
"Tyler Lockett (SEA, WR)",98.1,6.5,12.6,1.0,0.3,-2.7,-5.3,-2.2,-6.1,-8.1,3.6,0.5,-1.6
"DeSean Jackson (TB, WR)",74.8,8.3,12.2,0.6,2.1,-0.9,-3.5,-5.8,-9.7,-11.8,3.1,0.0,-2.1
"Markus Wheaton (CHI, WR)",93.2,6.2,11.4,1.0,-0.0,-3.0,-5.6,-1.9,-5.8,-7.8,2.6,-0.6,-2.6
"Jermaine Kearse (SEA, WR)",89.1,5.9,10.4,1.0,-0.3,-3.3,-5.9,-0.9,-4.8,-6.8,0.8,-2.3,-4.4
"Danny Amendola (NE, WR)",81.6,6.3,10.1,0.9,0.0,-2.9,-5.5,0.2,-3.7,-5.8,0.3,-2.8,-4.9
"Terrance Williams (DAL, WR)",84.7,5.6,9.4,1.0,-0.6,-3.6,-6.2,0.4,-3.5,-5.6,-1.0,-4.2,-6.3
"Torrey Smith (PHI, WR)",84.2,5.6,9.3,1.0,-0.6,-3.6,-6.2,-0.1,-4.0,-6.0,-0.8,-3.9,-6.0
"Kenny Britt (CLE, WR)",78.0,5.2,8.0,1.0,-1.0,-4.0,-6.6,-1.8,-5.7,-7.8,-0.0,-3.1,-5.2
"Seth Roberts (OAK, WR)",76.0,5.1,7.6,1.0,-1.2,-4.1,-6.7,-2.6,-6.5,-8.6,0.4,-2.7,-4.8
"Dez Bryant (DAL, WR)",58.1,6.5,7.4,0.6,0.2,-2.7,-5.4,-2.8,-6.7,-8.8,1.2,-1.9,-4.0
"Kendall Wright (CHI, WR)",60.5,6.0,7.2,0.7,-0.2,-3.1,-5.8,1.9,-2.0,-4.0,-4.2,-7.3,-9.4
"Robert Woods (LA, WR)",71.2,5.1,7.1,0.9,-1.2,-4.1,-6.7,-0.2,-4.1,-6.2,-1.7,-4.8,-6.9
"Corey Brown (BUF, WR)",66.7,5.1,6.7,0.9,-1.1,-4.1,-6.7,-1.0,-4.9,-7.0,-0.7,-3.8,-5.9
"Dontrelle Inman (SD, WR)",62.1,5.2,6.3,0.8,-1.1,-4.0,-6.6,-2.5,-6.4,-8.4,0.8,-2.4,-4.4
"DeVante Parker (MIA, WR)",50.8,5.6,5.6,0.6,-0.6,-3.6,-6.2,-4.6,-8.5,-10.6,3.0,-0.2,-2.2
"Dwayne Harris (NYG, WR)",64.8,4.3,5.5,1.0,-1.9,-4.9,-7.5,-0.7,-4.6,-6.7,-2.9,-6.0,-8.1
"Brandon LaFell (CIN, WR)",51.7,5.2,5.3,0.7,-1.1,-4.0,-6.6,-2.2,-6.1,-8.2,-0.7,-3.8,-5.9
"Kenny Stills (MIA, WR)",60.9,4.3,5.2,0.9,-1.9,-4.8,-7.5,-1.4,-5.3,-7.4,-1.9,-5.0,-7.1
"Cole Beasley (DAL, WR)",62.3,4.2,5.1,1.0,-2.1,-5.0,-7.7,-3.3,-7.2,-9.3,-0.6,-3.7,-5.8
"Albert Wilson (KC, WR)",57.3,4.4,5.0,0.9,-1.8,-4.8,-7.4,-2.1,-6.0,-8.1,-1.3,-4.4,-6.5
"Marquess Wilson (NYJ, WR)",52.4,4.8,4.9,0.7,-1.5,-4.4,-7.0,-0.7,-4.6,-6.6,-2.2,-5.3,-7.4
"Mike Wallace (BAL, WR)",57.7,4.1,4.7,0.9,-2.1,-5.1,-7.7,-0.8,-4.7,-6.8,-3.0,-6.1,-8.2
"Devin Funchess (CAR, WR)",59.3,4.0,4.6,1.0,-2.3,-5.2,-7.9,-4.5,-8.4,-10.5,0.1,-3.1,-5.1
"Chris Hogan (NE, WR)",57.0,4.1,4.6,0.9,-2.2,-5.1,-7.7,-0.7,-4.6,-6.7,-3.2,-6.3,-8.4
"Mohamed Sanu (ATL, WR)",56.8,3.8,4.2,1.0,-2.5,-5.4,-8.0,-1.8,-5.7,-7.8,-2.7,-5.8,-7.9
"Davante Adams (GB, WR)",48.9,4.1,3.9,0.8,-2.2,-5.1,-7.7,-3.3,-7.2,-9.3,-1.4,-4.5,-6.6
"Jamison Crowder (WAS, WR)",53.7,3.6,3.8,1.0,-2.7,-5.6,-8.2,-1.6,-5.5,-7.6,-3.2,-6.3,-8.4
"Harry Douglas (TEN, WR)",48.6,3.7,3.6,0.9,-2.5,-5.5,-8.1,-3.1,-7.0,-9.1,-1.8,-5.0,-7.0
"J.J. Nelson (ARI, WR)",39.9,4.4,3.5,0.6,-1.8,-4.8,-7.4,-4.2,-8.1,-10.1,-0.4,-3.5,-5.6
"Josh Huff (TB, WR)",49.2,3.5,3.4,0.9,-2.7,-5.7,-8.3,-2.5,-6.4,-8.5,-2.6,-5.7,-7.8
"Keshawn Martin (DET, WR)",37.1,4.6,3.4,0.5,-1.6,-4.6,-7.2,-0.7,-4.6,-6.6,-1.9,-5.0,-7.1
"Brandon Coleman (NO, WR)",49.3,3.3,3.2,1.0,-3.0,-5.9,-8.5,-3.2,-7.1,-9.2,-2.2,-5.3,-7.4
"Andre Holmes (BUF, WR)",44.1,3.1,2.7,0.9,-3.1,-6.0,-8.7,-1.7,-5.6,-7.7,-4.0,-7.1,-9.2
"Jeremy Butler (BUF, WR)",30.6,4.4,2.6,0.5,-1.9,-4.8,-7.4,-5.8,-9.7,-11.8,-1.9,-5.0,-7.1
"Jarius Wright (MIN, WR)",43.0,3.1,2.6,0.9,-3.2,-6.1,-8.7,-2.3,-6.2,-8.3,-3.5,-6.6,-8.7
"Justin Hunter (PIT, WR)",32.4,3.6,2.3,0.6,-2.6,-5.6,-8.2,-3.0,-6.9,-9.0,-0.0,-3.1,-5.2
"Adam Humphries (TB, WR)",32.0,3.2,2.0,0.7,-3.0,-6.0,-8.6,-4.4,-8.3,-10.4,-2.6,-5.7,-7.8
"Darrius Heyward-Bey (PIT, WR)",36.0,2.8,2.0,0.9,-3.5,-6.4,-9.0,-1.7,-5.6,-7.7,-5.6,-8.7,-10.8
"Brice Butler (DAL, WR)",19.8,5.0,1.9,0.3,-1.3,-4.2,-6.9,-0.4,-4.3,-6.4,-1.7,-4.8,-6.9
"Quincy Enunwa (NYJ, WR)",31.0,3.1,1.9,0.7,-3.1,-6.1,-8.7,-3.5,-7.4,-9.5,-2.6,-5.8,-7.8
"Marqise Lee (JAC, WR)",25.9,3.2,1.7,0.5,-3.0,-6.0,-8.6,-3.2,-7.1,-9.2,-2.8,-5.9,-8.0
"Andrew Hawkins (NE, WR)",25.6,3.2,1.6,0.5,-3.0,-6.0,-8.6,-2.9,-6.8,-8.9,-1.3,-4.4,-6.5
"De'Anthony Thomas (KC, WR)",27.4,2.7,1.5,0.7,-3.5,-6.5,-9.1,-3.0,-6.9,-8.9,-4.0,-7.1,-9.2
"Nelson Agholor (PHI, WR)",30.0,2.5,1.5,0.8,-3.7,-6.7,-9.3,-4.1,-8.0,-10.1,-3.2,-6.3,-8.4
"Ryan Grant (WAS, WR)",31.0,2.4,1.5,0.9,-3.9,-6.8,-9.4,-2.2,-6.1,-8.2,-5.3,-8.4,-10.5
"Nick Williams (ATL, WR)",27.9,2.5,1.4,0.7,-3.7,-6.7,-9.3,-4.4,-8.3,-10.4,-1.7,-4.8,-6.9
"Phillip Dorsett (IND, WR)",24.3,2.4,1.2,0.7,-3.8,-6.8,-9.4,-2.8,-6.7,-8.8,-5.2,-8.3,-10.4
"Chris Conley (KC, WR)",23.7,2.2,1.0,0.7,-4.1,-7.0,-9.7,-2.2,-6.1,-8.1,-5.9,-9.0,-11.1
"Jeremy Kerley (SF, WR)",27.2,1.8,1.0,1.0,-4.4,-7.4,-10.0,-2.4,-6.3,-8.3,-5.9,-9.0,-11.1
"Josh Bellamy (CHI, WR)",23.5,1.8,0.8,0.9,-4.4,-7.4,-10.0,-3.5,-7.4,-9.5,-4.9,-8.0,-10.1
"Jaron Brown (ARI, WR)",20.4,2.0,0.8,0.7,-4.2,-7.2,-9.8,-3.3,-7.2,-9.3,-4.9,-8.0,-10.1
"Taylor Gabriel (ATL, WR)",22.1,1.8,0.8,0.8,-4.4,-7.4,-10.0,-3.7,-7.6,-9.6,-5.0,-8.2,-10.3
"Aaron Dobson (ARI, WR)",14.1,2.4,0.7,0.4,-3.9,-6.8,-9.5,-2.9,-6.8,-8.8,-5.1,-8.2,-10.3
"Justin Hardy (ATL, WR)",16.0,2.0,0.6,0.5,-4.2,-7.2,-9.8,-3.7,-7.6,-9.7,-4.2,-7.4,-9.4
"T.J. Jones (DET, WR)",16.9,1.9,0.6,0.6,-4.4,-7.3,-9.9,-5.8,-9.7,-11.8,-1.7,-4.8,-6.9
"Bennie Fowler (DEN, WR)",20.0,1.4,0.6,0.9,-4.8,-7.8,-10.4,-4.0,-7.9,-10.0,-5.2,-8.3,-10.4
"Charles Johnson (CAR, WR)",12.7,2.1,0.5,0.4,-4.1,-7.1,-9.7,-3.8,-7.7,-9.8,-3.7,-6.8,-8.9
"Adam Thielen (MIN, WR)",15.0,1.7,0.5,0.6,-4.6,-7.5,-10.1,-2.9,-6.8,-8.9,-5.5,-8.7,-10.7
"Andre Roberts (ATL, WR)",13.5,1.7,0.4,0.5,-4.6,-7.5,-10.1,-3.7,-7.5,-9.6,-5.4,-8.5,-10.6
