Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Devonta Freeman (ATL, RB)",230.0,16.4,40.2,0.9,7.9,5.2,3.9,13.2,10.0,7.2,2.7,-0.2,-1.8
"Adrian Peterson (NO, RB)",217.9,14.5,33.6,1.0,6.0,3.3,2.0,5.3,2.1,-0.7,8.1,5.2,3.6
"Todd Gurley (LA, RB)",187.6,14.4,28.8,0.9,5.9,3.2,1.9,8.9,5.7,2.9,5.2,2.3,0.8
"Doug Martin (TB, RB)",188.5,12.6,25.2,1.0,4.1,1.4,0.0,6.3,3.1,0.3,3.5,0.6,-0.9
"Lamar Miller (HOU, RB)",178.6,11.9,22.6,1.0,3.4,0.7,-0.7,4.5,1.3,-1.5,3.8,0.9,-0.6
"Chris Ivory (JAC, RB)",164.6,11.8,20.6,0.9,3.3,0.6,-0.8,7.7,4.5,1.7,1.2,-1.7,-3.3
"Matt Forte (NYJ, RB)",151.7,12.6,20.4,0.8,4.1,1.4,0.1,5.7,2.5,-0.3,3.9,1.0,-0.6
"Mark Ingram (NO, RB)",150.5,12.5,20.1,0.8,4.0,1.3,-0.0,6.0,2.8,0.0,2.6,-0.3,-1.9
"David Johnson (ARI, RB)",167.9,11.2,20.0,1.0,2.7,-0.0,-1.4,-0.1,-3.3,-6.1,7.5,4.6,3.1
"LeSean McCoy (BUF, RB)",144.7,12.1,18.5,0.8,3.6,0.9,-0.5,3.0,-0.2,-3.0,5.2,2.3,0.8
"Jonathan Stewart (CAR, RB)",146.8,11.3,17.6,0.9,2.8,0.1,-1.3,2.4,-0.8,-3.6,5.0,2.0,0.5
"Danny Woodhead (BAL, RB)",156.9,10.5,17.4,1.0,2.0,-0.7,-2.1,3.4,0.2,-2.6,1.9,-1.0,-2.5
"Latavius Murray (MIN, RB)",156.2,10.4,17.3,1.0,1.9,-0.8,-2.2,3.9,0.7,-2.1,1.6,-1.3,-2.8
"Frank Gore (IND, RB)",151.8,10.1,16.3,1.0,1.6,-1.1,-2.4,2.1,-1.1,-3.9,2.7,-0.2,-1.7
"Darren McFadden (DAL, RB)",141.2,9.4,14.1,1.0,0.9,-1.8,-3.2,1.4,-1.8,-4.6,1.9,-1.0,-2.6
"Jamaal Charles (DEN, RB)",80.1,16.0,13.6,0.3,7.5,4.8,3.5,8.5,5.3,2.5,-7.9,-10.8,-12.4
"Le'Veon Bell (PIT, RB)",87.2,14.5,13.5,0.4,6.0,3.3,2.0,7.0,3.8,1.0,-7.9,-10.8,-12.4
"Jeremy Hill (CIN, RB)",135.8,9.1,13.1,1.0,0.5,-2.1,-3.5,1.7,-1.5,-4.3,1.0,-1.9,-3.5
"T.J. Yeldon (JAC, RB)",119.9,10.0,12.7,0.8,1.5,-1.2,-2.6,2.6,-0.6,-3.4,1.9,-1.0,-2.5
"DeMarco Murray (TEN, RB)",129.2,9.2,12.7,0.9,0.7,-2.0,-3.3,3.7,0.5,-2.3,-0.2,-3.1,-4.7
"Thomas Rawls (SEA, RB)",118.6,9.9,12.5,0.8,1.4,-1.3,-2.7,-1.2,-4.4,-7.2,6.9,4.0,2.5
"LeGarrette Blount (PHI, RB)",116.6,9.7,12.0,0.8,1.2,-1.5,-2.8,3.2,0.0,-2.8,0.8,-2.1,-3.7
"Giovani Bernard (CIN, RB)",127.4,8.5,11.5,1.0,-0.0,-2.7,-4.1,2.4,-0.8,-3.6,-0.7,-3.6,-5.2
"Jeremy Langford (CHI, RB)",122.2,8.7,11.3,0.9,0.2,-2.5,-3.8,-3.7,-6.9,-9.7,4.5,1.6,0.0
"Dion Lewis (NE, RB)",84.2,12.0,10.8,0.5,3.5,0.8,-0.5,5.6,2.4,-0.4,-2.6,-5.5,-7.1
"Eddie Lacy (SEA, RB)",116.5,8.3,10.3,0.9,-0.2,-2.9,-4.2,-0.3,-3.5,-6.3,1.4,-1.5,-3.0
"Charles Sims (TB, RB)",120.1,8.0,10.2,1.0,-0.5,-3.2,-4.6,0.2,-3.0,-5.8,0.3,-2.6,-4.1
"Ryan Mathews (PHI, RB)",102.7,8.6,9.3,0.8,0.1,-2.6,-4.0,1.6,-1.6,-4.4,-0.2,-3.1,-4.6
"Isaiah Crowell (CLE, RB)",113.5,7.6,9.1,1.0,-0.9,-3.6,-5.0,-0.7,-3.9,-6.7,0.5,-2.4,-4.0
"Charcandrick West (KC, RB)",109.6,7.8,9.1,0.9,-0.7,-3.4,-4.7,-2.0,-5.2,-8.0,2.9,0.0,-1.6
