Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Antonio Brown (PIT, WR)",201.3,13.4,63.7,1.0,6.8,5.0,3.3,6.2,3.9,2.2,7.4,4.8,3.0
"Jordy Nelson (GB, WR)",201.1,13.4,63.6,1.0,6.8,5.0,3.3,3.9,1.7,0.0,9.4,6.7,4.9
"Mike Evans (TB, WR)",191.6,12.8,57.7,1.0,6.1,4.4,2.6,6.8,4.6,2.9,5.7,3.1,1.2
"Odell Beckham (NYG, WR)",191.2,12.7,57.5,1.0,6.1,4.3,2.6,4.4,2.2,0.5,7.7,5.1,3.3
"Julio Jones (ATL, WR)",161.3,12.4,47.2,0.9,5.8,4.0,2.3,6.9,4.7,3.0,3.9,1.3,-0.5
"Brandin Cooks (NE, WR)",166.4,11.9,46.6,0.9,5.2,3.5,1.7,5.3,3.1,1.3,5.3,2.7,0.9
"T.Y. Hilton (IND, WR)",171.3,11.4,46.1,1.0,4.8,3.0,1.3,5.0,2.8,1.1,4.6,2.0,0.1
"Doug Baldwin (SEA, WR)",155.2,10.3,37.9,1.0,3.7,1.9,0.2,1.7,-0.5,-2.3,5.6,3.0,1.2
"Davante Adams (GB, WR)",154.6,10.3,37.6,1.0,3.7,1.9,0.2,3.2,1.0,-0.7,4.2,1.6,-0.2
"A.J. Green (CIN, WR)",120.4,12.0,34.2,0.7,5.4,3.6,1.9,6.6,4.4,2.7,0.1,-2.6,-4.4
"Michael Thomas (NO, WR)",142.1,10.2,34.0,0.9,3.5,1.7,0.0,2.9,0.6,-1.1,4.2,1.6,-0.2
"Dez Bryant (DAL, WR)",130.0,10.8,33.2,0.8,4.2,2.4,0.7,2.7,0.5,-1.2,5.1,2.5,0.7
"Michael Crabtree (OAK, WR)",143.6,9.6,32.4,1.0,2.9,1.2,-0.6,4.8,2.5,0.8,0.9,-1.7,-3.5
"Tyrell Williams (SD, WR)",140.9,9.4,31.2,1.0,2.8,1.0,-0.8,1.3,-0.9,-2.7,4.5,1.9,0.1
"Amari Cooper (OAK, WR)",135.0,9.0,28.6,1.0,2.4,0.6,-1.2,4.5,2.3,0.6,-0.0,-2.6,-4.4
"Emmanuel Sanders (DEN, WR)",133.6,8.9,28.1,1.0,2.3,0.5,-1.2,2.5,0.3,-1.4,2.1,-0.5,-2.4
"Tyreek Hill (KC, WR)",131.9,8.8,27.3,1.0,2.2,0.4,-1.4,0.1,-2.1,-3.8,4.1,1.4,-0.4
"Demaryius Thomas (DEN, WR)",129.6,8.6,26.4,1.0,2.0,0.2,-1.5,2.4,0.1,-1.6,1.7,-0.9,-2.8
"Rishard Matthews (TEN, WR)",129.1,8.6,26.2,1.0,2.0,0.2,-1.5,-0.1,-2.4,-4.1,4.4,1.8,0.0
"Kenny Britt (CLE, WR)",128.2,8.5,25.8,1.0,1.9,0.1,-1.6,2.2,0.0,-1.7,1.7,-0.9,-2.7
"Larry Fitzgerald (ARI, WR)",126.6,8.4,25.2,1.0,1.8,0.0,-1.7,3.9,1.7,-0.0,-0.5,-3.1,-5.0
"Adam Thielen (MIN, WR)",125.5,8.4,24.8,1.0,1.7,-0.0,-1.8,-0.8,-3.0,-4.7,4.0,1.4,-0.4
"Mike Wallace (BAL, WR)",125.5,8.4,24.8,1.0,1.7,-0.0,-1.8,3.0,0.8,-0.9,0.7,-1.9,-3.7
"DeSean Jackson (TB, WR)",121.1,8.7,24.7,0.9,2.0,0.2,-1.5,-0.9,-3.1,-4.8,5.9,3.3,1.5
"Terrelle Pryor (WAS, WR)",125.0,8.3,24.6,1.0,1.7,-0.1,-1.8,3.3,1.0,-0.7,-0.0,-2.7,-4.5
"Jamison Crowder (WAS, WR)",122.9,8.2,23.7,1.0,1.6,-0.2,-2.0,2.3,0.0,-1.7,0.8,-1.8,-3.6
"Jarvis Landry (MIA, WR)",121.9,8.1,23.4,1.0,1.5,-0.3,-2.0,2.2,-0.0,-1.8,1.0,-1.6,-3.4
"Kelvin Benjamin (CAR, WR)",118.8,7.9,22.2,1.0,1.3,-0.5,-2.2,3.3,1.0,-0.7,-0.3,-2.9,-4.8
"Taylor Gabriel (ATL, WR)",105.9,8.8,22.0,0.8,2.2,0.4,-1.3,-2.0,-4.2,-5.9,5.3,2.7,0.9
"Stefon Diggs (MIN, WR)",109.3,8.4,21.7,0.9,1.8,0.0,-1.7,2.9,0.7,-1.1,0.9,-1.7,-3.5
"Kenny Stills (MIA, WR)",116.5,7.8,21.3,1.0,1.1,-0.6,-2.4,0.3,-2.0,-3.7,2.0,-0.6,-2.4
"Allen Robinson (JAC, WR)",116.1,7.7,21.2,1.0,1.1,-0.7,-2.4,1.0,-1.3,-3.0,1.3,-1.3,-3.1
"Golden Tate (DET, WR)",115.7,7.7,21.0,1.0,1.1,-0.7,-2.4,-0.6,-2.9,-4.6,3.1,0.5,-1.3
"Sterling Shepard (NYG, WR)",115.7,7.7,21.0,1.0,1.1,-0.7,-2.4,-0.4,-2.6,-4.3,2.4,-0.2,-2.0
"Brandon LaFell (CIN, WR)",115.3,7.7,20.9,1.0,1.0,-0.7,-2.5,0.9,-1.4,-3.1,1.3,-1.3,-3.1
"Willie Snead (NO, WR)",111.3,8.0,20.9,0.9,1.3,-0.5,-2.2,2.5,0.2,-1.5,0.6,-2.0,-3.8
"Marvin Jones (DET, WR)",109.7,7.8,20.3,0.9,1.2,-0.6,-2.3,4.4,2.2,0.5,-3.0,-5.7,-7.5
"Pierre Garcon (SF, WR)",112.5,7.5,19.9,1.0,0.9,-0.9,-2.7,-1.1,-3.4,-5.1,3.2,0.6,-1.2
"Cameron Meredith (CHI, WR)",103.3,7.9,19.4,0.9,1.3,-0.5,-2.2,-0.9,-3.1,-4.8,3.3,0.7,-1.1
"Cole Beasley (DAL, WR)",109.1,7.3,18.7,1.0,0.6,-1.1,-2.9,2.2,-0.1,-1.8,-0.6,-3.2,-5.0
