Player,TotalPts,Position,rb_PriorYear_AuctionValue,rb_2015_AuctionValue,rb_2014_AuctionValue,rb_2013_AuctionValue,rb_2012_AuctionValue,rb_2011_AuctionValue,rb_2010_AuctionValue,rb_2009_AuctionValue,PriorYear_TotalPts,CareerMean_TotalPts,PriorYear_PtsPpg,CareerMean_PtsPpg,PriorYear_Availability,CareerMean_Availability,PriorYear_PlusMinus,CareerMean_PlusMinus,PriorYear_FirstHalfPlusMinus,CareerMean_FirstHalfPlusMinus,PriorYear_SecondHalfPlusMinus,CareerMean_SecondHalfPlusMinus
"Juwan Thompson (DEN, RB)",0.0,0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,47.7,0.0,4.0,0.0,0.8,0.0,-2.6,0.0,0.7,0.0,-3.7
"Bernard Pierce (DEN, RB)",0.0,0,0.0,0.0,2.6,3.8,6.1,0.0,0.0,0.0,0.0,54.2666666667,0.0,3.96666666667,0.0,0.9,0.0,-0.8,0.0,-0.0333333333333,0.0,-1.2
"Damien Williams (MIA, RB)",0.0,0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,34.7,0.0,2.5,0.0,0.9,0.0,-4.1,0.0,-5.7,0.0,-2.4
"Storm Johnson (MIA, RB)",0.0,0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.0,4.0,0.0,0.3,0.0,-2.5,0.0,-0.5,0.0,-5.0
"Jordan Todman (NYJ, RB)",0.0,0,0.0,0.0,1.1,3.1,0.0,0.0,0.0,0.0,0.0,29.7,0.0,2.3,0.0,0.666666666667,0.0,-2.46666666667,0.0,-3.56666666667,0.0,-1.26666666667
"Lance Dunbar (LA, RB)",0.0,0,0.0,0.0,1.0,0.7,0.4,0.0,0.0,0.0,0.0,20.3,0.0,1.93333333333,0.0,0.666666666667,0.0,-2.86666666667,0.0,-3.53333333333,0.0,-1.63333333333
"Joe Banyard (BUF, RB)",0.0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,1.15,0.0,0.3,0.0,-4.5,0.0,-4.85,0.0,-4.3
"James White (NE, RB)",0.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,2.6,0.0,0.1,0.0,-3.9,0.0,-3.9,0.0,-6.1
"Cedric Peerman (CIN, RB)",0.0,0,0.0,0.0,0.1,0.0,4.3,0.0,0.0,0.0,0.0,9.84,0.0,0.96,0.0,0.66,0.0,-2.64,0.0,-2.52,0.0,-2.42
"Mike James (DET, RB)",0.0,0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,20.55,0.0,3.0,0.0,0.4,0.0,-2.6,0.0,-4.0,0.0,1.35
"Derrick Coleman (ATL, RB)",0.0,0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,11.9,0.0,2.0,0.0,0.4,0.0,-2.8,0.0,-3.1,0.0,-1.3
"Tommy Bohanon (JAC, RB)",0.0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,11.9,0.0,1.1,0.0,0.7,0.0,-3.7,0.0,-2.8,0.0,-4.4
"Travaris Cadet (NO, RB)",0.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.6,0.0,0.6,0.0,-3.35,0.0,-2.05,0.0,-3.8
"Taiwan Jones (OAK, RB)",0.0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6.26666666667,0.0,0.633333333333,0.0,0.7,0.0,-2.73333333333,0.0,-2.6,0.0,-2.43333333333
"Patrick DiMarco (BUF, RB)",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.25,0.0,0.35,0.0,-3.65,0.0,-3.2,0.0,-3.8
"Kenjon Barner (SD, RB)",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.3,0.0,0.3,0.0,-4.4,0.0,-3.9,0.0,-4.6
