Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Adrian Peterson (NO, RB)",273.3,18.2,143.1,1.0,15.1,11.4,6.0,11.3,7.5,1.7,19.7,14.9,10.4
"Doug Martin (TB, RB)",240.6,16.0,110.9,1.0,12.9,9.2,3.8,11.5,7.7,1.9,14.3,9.5,5.0
"Marshawn Lynch (OAK, RB)",235.2,15.7,106.0,1.0,12.5,8.9,3.4,9.9,6.1,0.3,15.9,11.1,6.6
"Alfred Morris (DAL, RB)",201.1,13.4,77.5,1.0,10.3,6.6,1.2,10.0,6.2,0.5,10.8,6.0,1.5
"Jamaal Charles (DEN, RB)",198.2,13.2,75.3,1.0,10.1,6.4,1.0,9.6,5.8,-0.0,10.8,5.9,1.4
"C.J. Spiller (KC, RB)",195.2,13.0,73.0,1.0,9.9,6.2,0.8,10.8,7.0,1.2,9.3,4.5,0.0
"Frank Gore (IND, RB)",181.7,12.1,63.3,1.0,9.0,5.3,-0.1,9.6,5.8,0.0,8.6,3.8,-0.7
"Matt Forte (NYJ, RB)",159.0,11.4,51.9,0.9,8.2,4.5,-0.9,8.6,4.8,-0.9,8.1,3.3,-1.2
"LeSean McCoy (BUF, RB)",134.7,12.2,47.4,0.7,9.1,5.4,0.0,10.0,6.2,0.4,8.1,3.3,-1.2
"Darren Sproles (PHI, RB)",125.1,10.4,37.5,0.8,7.3,3.6,-1.8,6.9,3.1,-2.7,8.3,3.5,-1.0
"DeMarco Murray (TEN, RB)",102.8,11.4,33.7,0.6,8.3,4.6,-0.8,7.3,3.5,-2.3,9.9,5.1,0.6
"Darren McFadden (DAL, RB)",104.6,9.5,28.6,0.7,6.4,2.7,-2.7,7.5,3.7,-2.0,4.8,0.0,-4.5
"Danny Woodhead (BAL, RB)",106.0,7.6,23.1,0.9,4.4,0.8,-4.7,3.1,-0.7,-6.5,6.6,1.8,-2.7
"Ryan Mathews (PHI, RB)",97.9,8.2,23.0,0.8,5.0,1.3,-4.1,7.4,3.6,-2.2,3.5,-1.3,-5.8
"Mark Ingram (NO, RB)",89.2,5.9,15.2,1.0,2.8,-0.9,-6.3,-0.1,-3.9,-9.7,5.6,0.8,-3.7
"Jacquizz Rodgers (TB, RB)",80.6,5.4,12.4,1.0,2.2,-1.4,-6.9,1.9,-1.9,-7.7,2.8,-2.0,-6.5
"Bilal Powell (NYJ, RB)",74.9,5.8,12.4,0.9,2.6,-1.0,-6.5,0.0,-3.8,-9.6,5.1,0.3,-4.2
"Jonathan Stewart (CAR, RB)",61.3,6.8,12.0,0.6,3.7,0.0,-5.4,3.8,0.0,-5.8,3.9,-0.9,-5.4
"Shane Vereen (NYG, RB)",58.2,5.3,8.9,0.7,2.2,-1.5,-7.0,1.6,-2.2,-8.0,2.8,-2.0,-6.5
"Chris Ivory (JAC, RB)",33.0,6.6,6.3,0.3,3.5,-0.2,-5.6,-2.9,-6.7,-12.4,3.5,-1.3,-5.8
"Bernard Pierce (DEN, RB)",54.6,3.9,6.1,0.9,0.8,-2.9,-8.3,-0.6,-4.4,-10.1,2.0,-2.8,-7.3
"Robert Turbin (IND, RB)",52.8,3.8,5.7,0.9,0.6,-3.0,-8.5,0.4,-3.4,-9.2,1.2,-3.6,-8.1
"Brandon Bolden (NE, RB)",37.9,4.7,5.2,0.5,1.6,-2.1,-7.5,4.4,0.6,-5.1,-2.7,-7.5,-12.0
"Cedric Peerman (CIN, RB)",38.9,3.9,4.3,0.7,0.8,-2.9,-8.4,0.8,-3.0,-8.8,1.1,-3.7,-8.2
"Shaun Draughn (NYG, RB)",47.0,3.1,4.2,1.0,0.0,-3.7,-9.1,1.9,-1.9,-7.6,-1.5,-6.3,-10.8
"Lamar Miller (HOU, RB)",32.0,4.0,3.7,0.5,0.9,-2.8,-8.2,3.3,-0.5,-6.2,-0.5,-5.3,-9.8
"LeGarrette Blount (PHI, RB)",27.3,2.7,2.1,0.7,-0.4,-4.1,-9.5,1.1,-2.7,-8.5,-2.3,-7.1,-11.6
"Dion Lewis (NE, RB)",13.8,2.8,1.1,0.3,-0.4,-4.1,-9.5,-2.9,-6.7,-12.4,-0.4,-5.2,-9.7
"Lance Dunbar (LA, RB)",10.8,1.2,0.4,0.6,-1.9,-5.6,-11.0,-2.5,-6.3,-12.1,-1.5,-6.3,-10.8
"Taiwan Jones (OAK, RB)",3.2,0.4,0.0,0.6,-2.8,-6.5,-11.9,-2.9,-6.7,-12.4,-2.6,-7.4,-11.9
"Travaris Cadet (NO, RB)",2.9,0.3,0.0,0.7,-2.9,-6.5,-12.0,-2.9,-6.7,-12.4,-2.8,-7.6,-12.1
"Jordan Todman (NYJ, RB)",0.8,0.8,0.0,0.1,-2.3,-6.0,-11.4,-2.9,-6.7,-12.4,-2.3,-7.1,-11.6
"Matt Asiata (DET, RB)",1.1,0.2,0.0,0.3,-2.9,-6.6,-12.0,-2.4,-6.2,-11.9,-3.1,-7.9,-12.4
"Patrick DiMarco (BUF, RB)",0.0,0.0,0.0,0.1,-3.1,-6.8,-12.2,-2.9,-6.7,-12.4,-3.1,-7.9,-12.4
