Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Brandon Marshall (NYG, WR)",212.6,14.2,107.6,1.0,11.6,7.3,5.2,10.7,7.0,3.4,12.5,9.0,5.8
"A.J. Green (CIN, WR)",200.2,13.3,95.4,1.0,10.7,6.5,4.4,12.9,9.2,5.6,9.0,5.5,2.3
"Dez Bryant (DAL, WR)",196.1,13.1,91.5,1.0,10.5,6.2,4.1,5.7,2.0,-1.6,14.8,11.3,8.1
"Demaryius Thomas (DEN, WR)",180.0,12.0,77.1,1.0,9.4,5.2,3.0,10.0,6.3,2.8,9.0,5.5,2.3
"Julio Jones (ATL, WR)",177.2,11.8,74.7,1.0,9.2,5.0,2.8,9.2,5.5,1.9,9.4,5.9,2.7
"Eric Decker (TEN, WR)",164.8,11.0,64.6,1.0,8.4,4.2,2.0,8.8,5.1,1.6,8.1,4.6,1.4
"Victor Cruz (CHI, WR)",158.0,10.5,59.4,1.0,7.9,3.7,1.5,11.0,7.3,3.8,4.6,1.1,-2.1
"Randall Cobb (GB, WR)",154.6,10.3,56.9,1.0,7.7,3.5,1.3,7.3,3.5,0.0,8.4,4.9,1.7
"Michael Crabtree (OAK, WR)",136.1,9.1,44.1,1.0,6.5,2.2,0.1,5.5,1.8,-1.8,7.8,4.3,1.1
"Torrey Smith (PHI, WR)",134.8,9.0,43.2,1.0,6.4,2.2,0.0,7.5,3.7,0.2,5.6,2.1,-1.1
"Mike Wallace (BAL, WR)",130.5,8.7,40.5,1.0,6.1,1.9,-0.3,7.7,4.0,0.5,4.8,1.3,-1.9
"Jeremy Maclin (BAL, WR)",117.5,8.4,35.2,0.9,5.8,1.6,-0.6,6.1,2.4,-1.2,5.7,2.2,-1.0
"Jordy Nelson (GB, WR)",101.8,9.3,33.6,0.7,6.6,2.4,0.3,9.5,5.8,2.3,2.0,-1.5,-4.7
"T.Y. Hilton (IND, WR)",113.9,8.1,33.1,0.9,5.5,1.3,-0.9,2.8,-0.9,-4.4,7.7,4.1,0.9
"Andre Roberts (ATL, WR)",107.2,7.7,29.3,0.9,5.0,0.8,-1.3,7.3,3.6,0.0,2.3,-1.2,-4.4
"Antonio Brown (PIT, WR)",97.5,8.1,28.3,0.8,5.5,1.3,-0.9,5.4,1.7,-1.8,5.9,2.4,-0.8
"Pierre Garcon (SF, WR)",84.0,9.3,28.0,0.6,6.7,2.5,0.3,4.7,1.0,-2.5,7.8,4.3,1.1
"Golden Tate (DET, WR)",104.6,7.5,27.9,0.9,4.9,0.6,-1.5,3.5,-0.3,-3.8,6.5,2.9,-0.3
"Josh Gordon (CLE, WR)",106.6,7.1,27.0,1.0,4.5,0.3,-1.9,5.4,1.7,-1.9,3.7,0.2,-3.0
"Justin Blackmon (JAC, WR)",103.8,6.9,25.6,1.0,4.3,0.1,-2.1,0.4,-3.3,-6.9,7.9,4.4,1.2
"Larry Fitzgerald (ARI, WR)",102.5,6.8,25.0,1.0,4.2,0.0,-2.2,6.3,2.6,-1.0,2.1,-1.4,-4.6
"Brandon LaFell (CIN, WR)",88.6,7.4,23.3,0.8,4.8,0.5,-1.6,4.9,1.2,-2.3,4.8,1.3,-1.9
"Danny Amendola (NE, WR)",78.7,7.9,22.1,0.7,5.3,1.0,-1.1,7.7,4.0,0.4,3.0,-0.5,-3.7
"DeSean Jackson (TB, WR)",81.3,7.4,21.4,0.7,4.8,0.6,-1.6,5.8,2.1,-1.4,3.3,-0.2,-3.4
"Darrius Heyward-Bey (PIT, WR)",84.9,6.1,18.4,0.9,3.4,-0.8,-2.9,3.5,-0.2,-3.7,3.5,0.0,-3.2
"Kenny Britt (CLE, WR)",78.8,6.1,17.0,0.9,3.4,-0.8,-2.9,2.1,-1.6,-5.1,4.8,1.2,-2.0
"Andrew Hawkins (NE, WR)",78.5,6.0,16.9,0.9,3.4,-0.8,-2.9,4.6,0.9,-2.6,2.3,-1.2,-4.4
"Kendall Wright (CHI, WR)",81.0,5.8,16.7,0.9,3.2,-1.0,-3.2,4.0,0.3,-3.2,2.3,-1.2,-4.4
"Jeremy Kerley (SF, WR)",82.4,5.5,16.1,1.0,2.9,-1.3,-3.5,4.9,1.2,-2.4,0.8,-2.7,-5.9
"Mohamed Sanu (ATL, WR)",47.8,8.0,13.6,0.4,5.4,1.1,-1.0,2.8,-0.9,-4.5,6.7,3.2,0.0
"Rod Streater (BUF, WR)",66.7,4.8,11.3,0.9,2.1,-2.1,-4.2,0.2,-3.5,-7.0,4.3,0.8,-2.4
"Emmanuel Sanders (DEN, WR)",62.2,4.1,9.2,1.0,1.5,-2.7,-4.8,1.7,-2.1,-5.6,1.6,-1.9,-5.1
"Alshon Jeffery (PHI, WR)",47.1,5.2,8.8,0.6,2.6,-1.6,-3.8,3.7,0.0,-3.5,1.5,-2.0,-5.2
"Julian Edelman (NE, WR)",44.0,4.9,7.7,0.6,2.3,-1.9,-4.1,0.7,-3.0,-6.5,4.5,1.0,-2.2
"Doug Baldwin (SEA, WR)",52.7,4.1,7.6,0.9,1.4,-2.8,-4.9,1.1,-2.6,-6.1,1.9,-1.6,-4.8
"Aldrick Robinson (SF, WR)",43.1,4.8,7.4,0.6,2.2,-2.0,-4.2,0.8,-2.9,-6.5,5.4,1.9,-1.3
"Travis Benjamin (SD, WR)",44.1,3.7,5.8,0.8,1.1,-3.2,-5.3,1.4,-2.3,-5.9,0.9,-2.6,-5.8
"Michael Floyd (MIN, WR)",45.6,3.3,5.3,0.9,0.6,-3.6,-5.7,0.3,-3.4,-7.0,1.2,-2.3,-5.5
"Jarius Wright (MIN, WR)",29.1,4.9,5.0,0.4,2.2,-2.0,-4.1,-2.4,-6.1,-9.6,2.2,-1.3,-4.5
"Harry Douglas (TEN, WR)",37.9,2.7,3.7,0.9,0.1,-4.1,-6.3,0.2,-3.5,-7.1,0.2,-3.4,-6.6
"Rueben Randle (CHI, WR)",30.0,2.5,2.7,0.8,-0.1,-4.3,-6.5,-0.2,-3.9,-7.4,0.3,-3.3,-6.5
"Marvin Jones (DET, WR)",20.3,2.9,2.1,0.5,0.3,-3.9,-6.1,-1.1,-4.8,-8.3,0.9,-2.6,-5.8
"Brian Quick (WAS, WR)",27.6,2.1,2.1,0.9,-0.5,-4.7,-6.9,-0.9,-4.6,-8.1,0.0,-3.5,-6.7
"Dwayne Harris (NYG, WR)",25.7,1.8,1.7,0.9,-0.8,-5.0,-7.2,-2.4,-6.1,-9.6,0.6,-3.0,-6.2
"Keshawn Martin (DET, WR)",19.8,1.3,0.9,1.0,-1.3,-5.5,-7.7,-1.0,-4.7,-8.2,-1.4,-4.9,-8.1
"Brandon Tate (BUF, WR)",19.8,1.3,0.9,1.0,-1.3,-5.5,-7.7,-0.3,-4.0,-7.5,-2.0,-5.5,-8.8
"Cole Beasley (DAL, WR)",12.8,1.8,0.8,0.5,-0.8,-5.0,-7.2,-1.0,-4.7,-8.2,-0.8,-4.3,-7.5
"Rishard Matthews (TEN, WR)",11.5,1.9,0.8,0.4,-0.7,-4.9,-7.1,-2.4,-6.1,-9.6,-0.7,-4.3,-7.5
"Terrelle Pryor (WAS, WR)",2.6,1.3,0.1,0.1,-1.3,-5.5,-7.7,-2.4,-6.1,-9.6,-1.4,-4.9,-8.1
"Arrelious Benn (JAC, WR)",4.2,0.5,0.1,0.5,-2.1,-6.3,-8.5,-1.7,-5.4,-8.9,-2.7,-6.2,-9.4
"Jermaine Kearse (SEA, WR)",3.1,0.6,0.1,0.3,-2.0,-6.2,-8.4,-2.4,-6.1,-9.6,-2.0,-5.6,-8.8
"Eric Weems (TEN, WR)",2.7,0.3,0.0,0.7,-2.3,-6.6,-8.7,-2.4,-6.1,-9.6,-2.2,-5.7,-8.9
"Andre Holmes (BUF, WR)",1.1,0.3,0.0,0.3,-2.3,-6.6,-8.7,-2.1,-5.8,-9.4,-2.3,-5.8,-9.0
"Deonte Thompson (CHI, WR)",0.5,0.1,0.0,0.3,-2.5,-6.7,-8.9,-2.3,-6.0,-9.5,-2.7,-6.2,-9.4
"Ted Ginn (NO, WR)",-1.2,0.0,0.0,0.8,-2.6,-6.8,-9.0,-2.2,-5.9,-9.5,-2.7,-6.2,-9.4
"Matthew Slater (NE, WR)",0.0,0.0,0.0,0.9,-2.6,-6.8,-9.0,-2.4,-6.1,-9.6,-2.7,-6.2,-9.4
"Josh Bellamy (CHI, WR)",0.0,0.0,0.0,0.1,-2.6,-6.8,-9.0,-2.4,-6.1,-9.6,-2.7,-6.2,-9.4
"Jeremy Ross (ARI, WR)",0.0,0.0,0.0,0.1,-2.6,-6.8,-9.0,-2.4,-6.1,-9.6,-2.7,-6.2,-9.4
