Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Rob Gronkowski (NE, TE)",132.8,13.3,74.4,0.7,10.2,7.7,6.5,9.3,6.3,5.5,14.2,11.7,10.2
"Jimmy Graham (SEA, TE)",134.7,9.6,54.7,0.9,6.6,4.0,2.8,6.3,3.3,2.5,6.7,4.2,2.8
"Jason Witten (DAL, TE)",110.3,7.4,34.2,1.0,4.3,1.7,0.6,4.8,1.8,1.0,3.8,1.3,-0.2
"Greg Olsen (CAR, TE)",110.0,7.3,34.1,1.0,4.3,1.7,0.6,2.8,-0.2,-1.0,5.5,3.0,1.5
"Jermaine Gresham (ARI, TE)",101.7,6.8,29.1,1.0,3.7,1.2,0.0,3.4,0.4,-0.4,4.0,1.5,0.0
"Kyle Rudolph (MIN, TE)",101.3,6.8,28.9,1.0,3.7,1.1,-0.0,3.8,0.8,0.0,3.5,1.1,-0.4
"Antonio Gates (SD, TE)",88.3,6.3,23.5,0.9,3.3,0.7,-0.5,3.0,0.0,-0.8,3.4,0.9,-0.6
"Martellus Bennett (GB, TE)",91.1,6.1,23.4,1.0,3.0,0.5,-0.7,3.5,0.5,-0.4,2.5,0.0,-1.5
"Vernon Davis (WAS, TE)",84.3,5.6,20.0,1.0,2.6,0.0,-1.2,4.7,1.7,0.9,0.1,-2.4,-3.9
"Jared Cook (OAK, TE)",74.3,5.7,17.9,0.9,2.7,0.1,-1.1,3.2,0.2,-0.6,1.8,-0.7,-2.2
"Lance Kendricks (GB, TE)",72.6,4.8,14.8,1.0,1.8,-0.8,-1.9,-0.2,-3.2,-4.0,4.0,1.5,0.0
"Dwayne Allen (NE, TE)",68.3,4.9,14.1,0.9,1.8,-0.7,-1.9,1.9,-1.1,-1.9,1.7,-0.8,-2.3
"Brent Celek (PHI, TE)",68.1,4.9,14.0,0.9,1.8,-0.8,-1.9,3.4,0.4,-0.4,0.1,-2.4,-3.8
"Marcedes Lewis (JAC, TE)",67.7,4.8,13.8,0.9,1.8,-0.8,-1.9,1.6,-1.3,-2.2,1.8,-0.7,-2.2
"Benjamin Watson (BAL, TE)",61.7,4.1,10.7,1.0,1.1,-1.5,-2.7,-0.2,-3.2,-4.0,2.5,0.0,-1.5
"Anthony Fasano (MIA, TE)",60.1,4.0,10.2,1.0,1.0,-1.6,-2.8,2.2,-0.8,-1.6,-0.2,-2.7,-4.1
"Jeff Cumberland (SD, TE)",46.4,3.6,7.0,0.9,0.5,-2.1,-3.2,-0.1,-3.1,-3.9,1.2,-1.3,-2.8
"Delanie Walker (TEN, TE)",44.9,3.0,5.7,1.0,-0.1,-2.6,-3.8,-1.1,-4.1,-4.9,1.1,-1.4,-2.9
"Coby Fleener (NO, TE)",34.0,3.1,4.4,0.7,0.0,-2.5,-3.7,0.2,-2.8,-3.6,-0.2,-2.7,-4.2
"Logan Paulsen (SF, TE)",36.0,2.8,4.2,0.9,-0.3,-2.9,-4.0,-0.6,-3.6,-4.4,-0.1,-2.5,-4.0
"Charles Clay (BUF, TE)",33.2,2.6,3.6,0.9,-0.5,-3.1,-4.2,-2.2,-5.2,-6.0,0.9,-1.6,-3.1
"Clay Harbor (NO, TE)",28.8,2.6,3.2,0.7,-0.4,-3.0,-4.2,-0.6,-3.6,-4.4,-0.4,-2.9,-4.3
"Niles Paul (WAS, TE)",21.1,1.8,1.6,0.8,-1.3,-3.9,-5.0,-1.7,-4.6,-5.5,-1.0,-3.5,-5.0
"Ed Dickson (CAR, TE)",16.1,1.6,1.1,0.7,-1.4,-4.0,-5.2,-1.7,-4.7,-5.5,-1.0,-3.5,-5.0
"Luke Stocker (TB, TE)",17.5,1.5,1.1,0.8,-1.6,-4.2,-5.3,-0.5,-3.5,-4.3,-2.2,-4.7,-6.2
"Lee Smith (OAK, TE)",13.3,1.7,0.9,0.5,-1.4,-4.0,-5.1,-2.8,-5.8,-6.6,-0.6,-3.1,-4.6
"Michael Hoomanawanui (NO, TE)",10.9,1.8,0.8,0.4,-1.2,-3.8,-5.0,-2.2,-5.2,-6.0,-0.3,-2.8,-4.2
"John Phillips (NO, TE)",11.5,1.1,0.6,0.7,-1.9,-4.5,-5.6,-0.7,-3.7,-4.5,-3.2,-5.7,-7.2
"Orson Charles (KC, TE)",10.1,1.0,0.4,0.7,-2.0,-4.6,-5.8,-1.4,-4.4,-5.2,-2.4,-4.9,-6.4
"Garrett Celek (SF, TE)",5.1,1.3,0.3,0.3,-1.8,-4.3,-5.5,-2.6,-5.6,-6.4,0.9,-1.6,-3.1
"Virgil Green (DEN, TE)",4.4,1.5,0.3,0.2,-1.6,-4.2,-5.3,1.4,-1.6,-2.4,-3.2,-5.7,-7.2
"James Hanna (DAL, TE)",6.6,0.8,0.2,0.5,-2.2,-4.8,-6.0,-2.6,-5.6,-6.4,-2.1,-4.6,-6.0
"Rhett Ellison (NYG, TE)",5.8,0.5,0.1,0.7,-2.5,-5.1,-6.3,-2.2,-5.2,-6.0,-3.1,-5.6,-7.1
"Cory Harkey (LA, TE)",2.1,0.5,0.0,0.3,-2.5,-5.1,-6.3,-3.0,-6.0,-6.8,-2.7,-5.1,-6.6
