Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Le'Veon Bell (PIT, RB)",277.5,18.5,73.2,1.0,12.0,8.8,5.9,8.6,5.5,1.9,16.3,12.8,7.1
"DeMarco Murray (TEN, RB)",276.0,18.4,72.4,1.0,11.9,8.7,5.8,13.6,10.5,6.9,10.3,6.7,1.1
"Marshawn Lynch (OAK, RB)",251.7,16.8,60.2,1.0,10.2,7.1,4.2,7.6,4.5,0.9,13.0,9.5,3.8
"Matt Forte (NYJ, RB)",233.2,15.5,51.7,1.0,9.0,5.9,3.0,10.9,7.8,4.2,7.3,3.8,-1.9
"Eddie Lacy (SEA, RB)",220.0,14.7,46.0,1.0,8.1,5.0,2.1,4.2,1.1,-2.5,13.1,9.5,3.9
"Jamaal Charles (DEN, RB)",206.8,14.8,43.5,0.9,8.2,5.1,2.2,7.2,4.1,0.5,9.5,5.9,0.3
"Jeremy Hill (CIN, RB)",172.9,11.5,28.4,1.0,5.0,1.9,-1.0,0.7,-2.4,-6.0,9.2,5.7,0.0
"Mark Ingram (NO, RB)",150.8,12.6,27.0,0.8,6.0,2.9,0.0,8.7,5.6,2.0,5.2,1.6,-4.1
"Alfred Morris (DAL, RB)",164.7,11.0,25.8,1.0,4.4,1.3,-1.6,3.5,0.4,-3.2,6.0,2.4,-3.2
"Lamar Miller (HOU, RB)",163.9,10.9,25.5,1.0,4.4,1.3,-1.6,5.9,2.8,-0.8,3.6,0.0,-5.7
"C.J. Anderson (DEN, RB)",148.6,11.4,24.2,0.9,4.9,1.8,-1.1,-5.2,-8.3,-11.9,11.7,8.1,2.5
"LeSean McCoy (BUF, RB)",154.7,10.3,22.7,1.0,3.8,0.6,-2.3,2.5,-0.6,-4.2,5.3,1.8,-3.9
"Giovani Bernard (CIN, RB)",132.5,11.0,20.9,0.8,4.5,1.4,-1.5,6.7,3.6,0.0,1.9,-1.6,-7.3
"Andre Ellington (ARI, RB)",131.5,11.0,20.5,0.8,4.4,1.3,-1.6,6.0,2.9,-0.7,2.7,-0.9,-6.5
"Matt Asiata (DET, RB)",135.4,9.7,18.7,0.9,3.1,0.0,-2.9,1.5,-1.6,-5.2,5.8,2.3,-3.4
"Frank Gore (IND, RB)",132.5,8.8,16.7,1.0,2.3,-0.8,-3.7,2.2,-0.9,-4.5,2.9,-0.7,-6.3
"Jonathan Stewart (CAR, RB)",114.4,9.5,15.5,0.8,3.0,-0.1,-3.0,0.8,-2.3,-5.9,5.0,1.5,-4.2
"Chris Ivory (JAC, RB)",124.6,8.3,14.8,1.0,1.8,-1.4,-4.3,4.4,1.3,-2.3,-0.8,-4.4,-10.0
"Isaiah Crowell (CLE, RB)",111.2,7.9,12.6,0.9,1.4,-1.7,-4.6,0.5,-2.6,-6.2,2.8,-0.8,-6.4
"Andre Williams (SD, RB)",114.8,7.7,12.5,1.0,1.1,-2.0,-4.9,-0.5,-3.6,-7.2,3.0,-0.6,-6.2
"Shane Vereen (NYG, RB)",112.7,7.5,12.1,1.0,1.0,-2.2,-5.1,1.9,-1.2,-4.8,0.4,-3.2,-8.8
"Darren Sproles (PHI, RB)",102.8,7.3,10.8,0.9,0.8,-2.3,-5.2,3.0,-0.1,-3.7,-0.3,-3.9,-9.6
"Branden Oliver (SD, RB)",95.8,7.4,10.1,0.9,0.8,-2.3,-5.2,5.0,2.0,-1.6,-2.3,-5.9,-11.5
"Knile Davis (PIT, RB)",96.7,6.4,8.9,1.0,-0.1,-3.2,-6.1,3.1,0.0,-3.6,-2.4,-6.0,-11.6
"Terrance West (BAL, RB)",85.1,6.5,7.9,0.9,0.0,-3.1,-6.0,0.3,-2.8,-6.4,0.2,-3.4,-9.0
"Ryan Mathews (PHI, RB)",57.7,9.6,7.9,0.4,3.1,-0.1,-2.9,2.3,-0.8,-4.4,3.9,0.4,-5.3
"LeGarrette Blount (PHI, RB)",81.9,5.9,6.8,0.9,-0.7,-3.8,-6.7,-1.8,-4.9,-8.5,1.3,-2.3,-8.0
"Darren McFadden (DAL, RB)",82.7,5.5,6.5,1.0,-1.0,-4.2,-7.1,1.4,-1.7,-5.3,-2.6,-6.2,-11.9
"Bishop Sankey (MIN, RB)",78.7,5.2,5.9,1.0,-1.3,-4.4,-7.3,-1.2,-4.3,-7.9,-0.9,-4.5,-10.1
"Jerick McKinnon (MIN, RB)",67.3,6.1,5.9,0.7,-0.4,-3.6,-6.4,-0.5,-3.6,-7.2,0.2,-3.3,-9.0
"Benny Cunningham (CHI, RB)",74.9,5.0,5.3,1.0,-1.5,-4.7,-7.6,0.2,-2.9,-6.5,-2.6,-6.2,-11.8
