Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Antonio Brown (PIT, WR)",231.1,15.4,67.1,1.0,5.0,5.1,2.6,6.5,6.2,3.8,3.5,4.0,0.2
"Jordy Nelson (GB, WR)",221.3,14.8,61.5,1.0,4.4,4.5,2.0,3.6,3.2,0.9,5.5,6.0,2.2
"Demaryius Thomas (DEN, WR)",216.4,14.4,58.9,1.0,4.1,4.1,1.7,5.9,5.6,3.3,2.5,3.0,-0.8
"Odell Beckham (NYG, WR)",179.5,16.3,55.2,0.7,6.0,6.0,3.6,-0.2,-0.5,-2.8,8.2,8.8,4.9
"Dez Bryant (DAL, WR)",206.1,13.7,53.4,1.0,3.4,3.4,1.0,1.3,1.0,-1.3,5.8,6.4,2.5
"Julio Jones (ATL, WR)",187.6,13.4,47.4,0.9,3.0,3.1,0.6,1.0,0.7,-1.6,5.9,6.4,2.6
"Emmanuel Sanders (DEN, WR)",191.5,12.8,46.1,1.0,2.4,2.5,0.0,2.7,2.3,0.0,2.3,2.8,-1.0
"Jeremy Maclin (BAL, WR)",188.0,12.5,44.4,1.0,2.2,2.2,-0.2,4.2,3.8,1.5,0.5,1.0,-2.8
"T.Y. Hilton (IND, WR)",176.5,12.6,41.9,0.9,2.2,2.3,-0.2,2.2,1.9,-0.4,2.4,3.0,-0.9
"Randall Cobb (GB, WR)",181.8,12.1,41.5,1.0,1.8,1.8,-0.6,3.9,3.6,1.3,-0.6,-0.1,-3.9
"Alshon Jeffery (PHI, WR)",173.2,11.5,37.7,1.0,1.2,1.2,-1.2,-0.6,-0.9,-3.2,3.3,3.8,0.0
"Mike Evans (TB, WR)",165.7,11.8,37.0,0.9,1.5,1.5,-0.9,-2.6,-2.9,-5.2,4.6,5.1,1.2
"Golden Tate (DET, WR)",155.6,10.4,30.4,1.0,0.0,0.1,-2.4,2.1,1.8,-0.5,-2.3,-1.8,-5.6
"DeAndre Hopkins (HOU, WR)",154.5,10.3,30.0,1.0,-0.1,0.0,-2.5,-1.0,-1.4,-3.7,1.2,1.7,-2.1
"A.J. Green (CIN, WR)",130.1,11.8,29.0,0.7,1.5,1.5,-0.9,3.8,3.5,1.2,0.6,1.1,-2.7
"Kelvin Benjamin (CAR, WR)",151.9,10.1,29.0,1.0,-0.2,-0.2,-2.6,0.5,0.1,-2.2,-0.9,-0.4,-4.2
"Mike Wallace (BAL, WR)",145.8,9.7,26.7,1.0,-0.6,-0.6,-3.0,0.0,-0.3,-2.6,-1.2,-0.6,-4.5
"DeSean Jackson (TB, WR)",139.0,9.9,26.0,0.9,-0.4,-0.4,-2.8,0.3,0.0,-2.3,-1.3,-0.8,-4.6
"Julian Edelman (NE, WR)",130.6,9.3,23.0,0.9,-1.0,-1.0,-3.4,-2.9,-3.2,-5.6,1.6,2.2,-1.7
"Brandon LaFell (CIN, WR)",128.3,8.6,20.7,1.0,-1.8,-1.7,-4.2,-1.4,-1.7,-4.1,-2.1,-1.6,-5.5
"Sammy Watkins (BUF, WR)",126.8,8.5,20.2,1.0,-1.9,-1.8,-4.3,1.0,0.6,-1.7,-5.1,-4.5,-8.4
"Mohamed Sanu (ATL, WR)",119.7,8.0,18.0,1.0,-2.4,-2.3,-4.8,1.4,1.1,-1.2,-5.6,-5.1,-9.0
"Jordan Matthews (PHI, WR)",118.7,7.9,17.7,1.0,-2.4,-2.4,-4.9,-4.5,-4.9,-7.2,-0.5,0.0,-3.8
"Kenny Stills (MIA, WR)",102.7,7.3,14.2,0.9,-3.0,-3.0,-5.4,-4.1,-4.5,-6.8,-2.1,-1.6,-5.4
"Keenan Allen (SD, WR)",98.3,7.0,13.0,0.9,-3.3,-3.3,-5.7,-4.1,-4.4,-6.7,-2.2,-1.7,-5.5
"Eric Decker (TEN, WR)",98.1,7.0,13.0,0.9,-3.4,-3.3,-5.8,-2.4,-2.7,-5.1,-4.2,-3.7,-7.5
"Doug Baldwin (SEA, WR)",96.2,6.4,11.6,1.0,-3.9,-3.9,-6.4,-4.0,-4.3,-6.7,-3.8,-3.3,-7.1
"Rueben Randle (CHI, WR)",96.0,6.4,11.6,1.0,-4.0,-3.9,-6.4,-3.9,-4.2,-6.5,-4.0,-3.4,-7.3
"Andrew Hawkins (NE, WR)",92.7,6.6,11.6,0.9,-3.7,-3.7,-6.1,-2.5,-2.8,-5.1,-4.9,-4.4,-8.2
"Larry Fitzgerald (ARI, WR)",85.5,6.6,10.6,0.9,-3.8,-3.7,-6.2,-2.4,-2.7,-5.1,-5.3,-4.7,-8.6
